,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
382,4739.823,59.17,60.36,60.0,,43.41
383,4739.973,59.2,60.37,60.0,,43.37
384,4740.123,59.21,60.37,60.0,48.32,43.35
385,4740.273,59.23,60.37,60.0,,43.32
386,4740.423,59.24,60.36,60.0,,43.28
387,4740.573,59.26,60.35,60.0,,43.27
388,4740.723,59.27,60.34,60.0,48.43,43.24
389,4921.5,,,,48.4,
390,4740.873,59.28,60.32,60.0,,43.22
391,4741.023,59.3,60.31,60.0,,43.2
392,4741.173,59.32,60.29,60.0,,43.17
393,4741.323,59.34,60.28,60.0,48.58,43.14
394,4741.473,59.36,60.26,60.0,,43.12
395,4741.623,59.38,60.25,60.0,,43.1
396,4925.722,,,,48.76,
397,4741.773,59.42,60.24,60.0,,43.07
398,4926.853,,,,49.07,
399,4741.923,59.44,60.22,60.0,49.32,43.04
400,4742.073,59.46,60.21,60.0,,43.03
401,4742.223,59.49,60.2,60.0,,43.0
402,4742.373,59.51,60.19,60.0,,42.99
403,4742.523,59.54,60.18,60.0,49.51,42.97
404,4742.673,59.58,60.17,60.0,,42.95
405,4742.823,59.61,60.16,60.0,,42.93
406,4742.973,59.63,60.16,60.0,,42.92
407,4743.123,59.66,60.15,60.0,49.72,42.9
408,4743.273,59.69,60.15,60.0,,42.88
409,4743.423,59.72,60.14,60.0,,42.86
410,4743.573,59.74,60.14,60.0,,42.82
411,4743.723,59.77,60.13,60.0,,42.79
412,4743.873,59.79,60.13,60.0,,42.77
413,4744.019,59.82,60.12,50.0,,42.75
414,4744.169,59.84,60.12,50.0,,42.74
415,4744.319,59.82,60.11,50.0,,42.73
416,4744.469,59.55,60.08,50.0,50.06,42.76
417,4744.619,59.15,60.01,50.0,,42.83
418,4939.004,,,,50.23,
419,4744.769,58.59,59.89,50.0,,42.94
420,4744.919,57.95,59.71,50.0,,43.06
421,4745.069,56.98,59.45,50.0,50.59,43.27
422,4745.219,56.2,59.15,50.0,,43.44
423,4745.369,55.41,58.81,50.0,,43.61
424,4745.519,54.33,58.41,50.0,,43.87
425,4745.669,53.51,57.98,50.0,50.97,44.06
426,4745.819,52.69,57.54,50.0,,44.25
427,4944.532,,,,51.1,
428,4745.969,51.61,57.04,50.0,,44.51
429,4746.119,50.8,56.54,50.0,,44.71
430,4746.269,50.0,56.03,50.0,51.34,44.91
431,4746.419,48.96,55.49,50.0,,45.16
