timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
540.145,103.09,41.2,62,,18.39,
540.145,103.09,41.2,62,,18.39,
540.145,103.09,41.2,62,,18.39,
540.145,103.09,41.2,62,,18.39,
540.295,103.39,41.48,62,,18.39,
540.295,103.39,41.48,62,,18.39,
540.295,103.39,41.48,62,,18.39,
540.295,103.39,41.48,62,,18.39,
540.445,103.7,41.76,62,30.37,18.4,24.28
540.445,103.7,41.76,62,30.37,18.4,24.28
540.445,103.7,41.76,62,30.37,18.4,24.28
540.445,103.7,41.76,62,30.37,18.4,24.28
540.445,103.7,41.76,62,30.37,18.4,24.28
540.445,103.7,41.76,62,30.37,18.4,24.28
540.595,104.09,42.07,62,,18.42,
540.595,104.09,42.07,62,,18.42,
540.595,104.09,42.07,62,,18.42,
540.595,104.09,42.07,62,,18.42,
540.745,104.39,42.35,62,,18.44,
540.745,104.39,42.35,62,,18.44,
540.745,104.39,42.35,62,,18.44,
540.745,104.39,42.35,62,,18.44,
540.895,104.66,42.63,62,,18.46,
540.895,104.66,42.63,62,,18.46,
540.895,104.66,42.63,62,,18.46,
540.895,104.66,42.63,62,,18.46,
541.045,105.04,42.94,62,32.84,18.48,24.87
541.045,105.04,42.94,62,32.84,18.48,24.87
541.045,105.04,42.94,62,32.84,18.48,24.87
541.045,105.04,42.94,62,32.84,18.48,24.87
541.045,105.04,42.94,62,32.84,18.48,24.87
541.045,105.04,42.94,62,32.84,18.48,24.87
541.195,105.32,43.22,62,,18.49,
541.195,105.32,43.22,62,,18.49,
541.195,105.32,43.22,62,,18.49,
541.195,105.32,43.22,62,,18.49,
541.345,105.59,43.5,62,,18.51,
541.345,105.59,43.5,62,,18.51,
541.345,105.59,43.5,62,,18.51,
541.345,105.59,43.5,62,,18.51,
541.495,106.02,43.83,62,,18.53,
541.495,106.02,43.83,62,,18.53,
541.495,106.02,43.83,62,,18.53,
