DATAQ: | Stg1ThermoTempC = 59.73 | stg1AltThermoTempC2 = 53.33 | stg1AltThermoTempC3 = 51.9  |
DATAQ: | Stg1ThermoTempC = 59.77 | stg1AltThermoTempC2 = 53.48 | stg1AltThermoTempC3 = 52.04  |
DATAQ: | Stg1ThermoTempC = 59.83 | stg1AltThermoTempC2 = 53.47 | stg1AltThermoTempC3 = 51.98  |
DATAQ: | Stg1ThermoTempC = 59.86 | stg1AltThermoTempC2 = 53.52 | stg1AltThermoTempC3 = 52.11  |
DATAQ: | Stg1ThermoTempC = 59.91 | stg1AltThermoTempC2 = 53.57 | stg1AltThermoTempC3 = 52.17  |
DATAQ: | Stg1ThermoTempC = 59.93 | stg1AltThermoTempC2 = 53.65 | stg1AltThermoTempC3 = 52.24  |
DATAQ: | Stg1ThermoTempC = 59.95 | stg1AltThermoTempC2 = 53.79 | stg1AltThermoTempC3 = 52.23  |
DATAQ: | Stg1ThermoTempC = 60.01 | stg1AltThermoTempC2 = 53.75 | stg1AltThermoTempC3 = 52.26  |
DATAQ: | Stg1ThermoTempC = 60.02 | stg1AltThermoTempC2 = 53.91 | stg1AltThermoTempC3 = 52.33  |
DATAQ: | Stg1ThermoTempC = 60.1 | stg1AltThermoTempC2 = 54.01 | stg1AltThermoTempC23= 52.44  |
DATAQ: | Stg1ThermoTempC = 60.09 | stg1AltThermoTempC2 = 54.03 | stg1AltThermoTempC3 = 52.49  |
DATAQ: | Stg1ThermoTempC = 60.15 | stg1AltThermoTempC2 = 54.09 | stg1AltThermoTempC3 = 52.58  |
DATAQ: | Stg1ThermoTempC = 60.19 | stg1AltThermoTempC2 = 54.18 | stg1AltThermoTempC3 = 52.62  |
DATAQ: | Stg1ThermoTempC = 60.23 | stg1AltThermoTempC2 = 54.23 | stg1AltThermoTempC3 = 52.63  |
DATAQ: | Stg1ThermoTempC = 60.31 | stg1AltThermoTempC2 = 54.26 | stg1AltThermoTempC3 = 52.71  |
DATAQ: | Stg1ThermoTempC = 60.36 | stg1AltThermoTempC2 = 54.36 | stg1AltThermoTempC3 = 52.71  |
DATAQ: | Stg1ThermoTempC = 60.27 | stg1AltThermoTempC2 = 54.31 | stg1AltThermoTempC3 = 52.72  |
DATAQ: | Stg1ThermoTempC = 60.35 | stg1AltThermoTempC2 = 54.51 | stg1AltThermoTempC3 = 52.88  |
DATAQ: | Stg1ThermoTempC = 60.35 | stg1AltThermoTempC2 = 54.51 | stg1AltThermoTempC3 = 52.94  |
DATAQ: | Stg1ThermoTempC = 60.48 | stg1AltThermoTempC2 = 54.68 | stg1AltThermoTempC3 = 53.05  |
DATAQ: | Stg1ThermoTempC = 60.44 | stg1AltThermoTempC2 = 54.63 | stg1AltThermoTempC3 = 52.97  |
DATAQ: | Stg1ThermoTempC = 60.49 | stg1AltThermoTempC2 = 54.72 | stg1AltThermoTempC3 = 53.04  |
DATAQ: | Stg1ThermoTempC = 60.47 | stg1AltThermoTempC2 = 54.69 | stg1AltThermoTempC3 = 53.05  |
DATAQ: | Stg1ThermoTempC = 60.62 | stg1AltThermoTempC2 = 54.88 | stg1AltThermoTempC3 = 53.15  |
DATAQ: | Stg1ThermoTempC = 60.62 | stg1AltThermoTempC2 = 54.86 | stg1AltThermoTempC3 = 53.15  |
DATAQ: | Stg1ThermoTempC = 60.6 | stg1AltThermoTempC2 = 54.94 | stg1AltThermoTempC23= 53.23  |
DATAQ: | Stg1ThermoTempC = 60.69 | stg1AltThermoTempC2 = 54.97 | stg1AltThermoTempC3 = 53.27  |
DATAQ: | Stg1ThermoTempC = 60.72 | stg1AltThermoTempC2 = 55.08 | stg1AltThermoTempC3 = 53.38  |
DATAQ: | Stg1ThermoTempC = 60.71 | stg1AltThermoTempC2 = 55.16 | stg1AltThermoTempC3 = 53.32  |
DATAQ: | Stg1ThermoTempC = 60.81 | stg1AltThermoTempC2 = 55.2 | stg1AltThermoTempC23= 53.47  |
DATAQ: | Stg1ThermoTempC = 60.83 | stg1AltThermoTempC2 = 55.21 | stg1AltThermoTempC3 = 53.47  |
DATAQ: | Stg1ThermoTempC = 60.91 | stg1AltThermoTempC2 = 55.36 | stg1AltThermoTempC3 = 53.57  |
DATAQ: | Stg1ThermoTempC = 60.88 | stg1AltThermoTempC2 = 55.35 | stg1AltThermoTempC3 = 53.6  |
DATAQ: | Stg1ThermoTempC = 60.92 | stg1AltThermoTempC2 = 55.42 | stg1AltThermoTempC3 = 53.54  |
DATAQ: | Stg1ThermoTempC = 60.83 | stg1AltThermoTempC2 = 55.37 | stg1AltThermoTempC3 = 53.53  |
DATAQ: | Stg1ThermoTempC = 60.97 | stg1AltThermoTempC2 = 55.53 | stg1AltThermoTempC3 = 53.67  |
DATAQ: | Stg1ThermoTempC = 60.97 | stg1AltThermoTempC2 = 55.55 | stg1AltThermoTempC3 = 53.68  |
DATAQ: | Stg1ThermoTempC = 61.03 | stg1AltThermoTempC2 = 55.6 | stg1AltThermoTempC23= 53.73  |
DATAQ: | Stg1ThermoTempC = 61.1 | stg1AltThermoTempC2 = 55.62 | stg1AltThermoTempC23= 53.82  |
DATAQ: | Stg1ThermoTempC = 61.11 | stg1AltThermoTempC2 = 55.75 | stg1AltThermoTempC3 = 53.84  |
DATAQ: | Stg1ThermoTempC = 61.1 | stg1AltThermoTempC2 = 55.75 | stg1AltThermoTempC23= 53.87  |
DATAQ: | Stg1ThermoTempC = 61.18 | stg1AltThermoTempC2 = 55.73 | stg1AltThermoTempC3 = 53.93  |
DATAQ: | Stg1ThermoTempC = 61.16 | stg1AltThermoTempC2 = 55.76 | stg1AltThermoTempC3 = 53.95  |
DATAQ: | Stg1ThermoTempC = 61.26 | stg1AltThermoTempC2 = 55.99 | stg1AltThermoTempC3 = 54.06  |
DATAQ: | Stg1ThermoTempC = 61.22 | stg1AltThermoTempC2 = 55.98 | stg1AltThermoTempC3 = 54.05  |
DATAQ: | Stg1ThermoTempC = 61.3 | stg1AltThermoTempC2 = 56.03 | stg1AltThermoTempC23= 54.16  |
DATAQ: | Stg1ThermoTempC = 61.34 | stg1AltThermoTempC2 = 56.1 | stg1AltThermoTempC23= 54.16  |
DATAQ: | Stg1ThermoTempC = 61.28 | stg1AltThermoTempC2 = 56.1 | stg1AltThermoTempC23= 54.14  |
DATAQ: | Stg1ThermoTempC = 61.35 | stg1AltThermoTempC2 = 56.12 | stg1AltThermoTempC3 = 54.24  |
DATAQ: | Stg1ThermoTempC = 61.43 | stg1AltThermoTempC2 = 56.19 | stg1AltThermoTempC3 = 54.29  |
DATAQ: | Stg1ThermoTempC = 61.42 | stg1AltThermoTempC2 = 56.27 | stg1AltThermoTempC3 = 54.34  |
DATAQ: | Stg1ThermoTempC = 61.48 | stg1AltThermoTempC2 = 56.28 | stg1AltThermoTempC3 = 54.33  |
DATAQ: | Stg1ThermoTempC = 61.47 | stg1AltThermoTempC2 = 56.34 | stg1AltThermoTempC3 = 54.31  |
DATAQ: | Stg1ThermoTempC = 61.6 | stg1AltThermoTempC2 = 56.46 | stg1AltThermoTempC23= 54.48  |
DATAQ: | Stg1ThermoTempC = 61.52 | stg1AltThermoTempC2 = 56.39 | stg1AltThermoTempC3 = 54.42  |
DATAQ: | Stg1ThermoTempC = 61.67 | stg1AltThermoTempC2 = 56.56 | stg1AltThermoTempC3 = 54.58  |
DATAQ: | Stg1ThermoTempC = 61.76 | stg1AltThermoTempC2 = 56.64 | stg1AltThermoTempC3 = 54.59  |
DATAQ: | Stg1ThermoTempC = 62.07 | stg1AltThermoTempC2 = 56.8 | stg1AltThermoTempC23= 54.68  |
DATAQ: | Stg1ThermoTempC = 62.34 | stg1AltThermoTempC2 = 56.87 | stg1AltThermoTempC3 = 54.66  |
DATAQ: | Stg1ThermoTempC = 62.76 | stg1AltThermoTempC2 = 56.92 | stg1AltThermoTempC3 = 54.88  |
DATAQ: | Stg1ThermoTempC = 63.23 | stg1AltThermoTempC2 = 57.02 | stg1AltThermoTempC3 = 55.09  |
DATAQ: | Stg1ThermoTempC = 64.14 | stg1AltThermoTempC2 = 57.17 | stg1AltThermoTempC3 = 55.63  |
DATAQ: | Stg1ThermoTempC = 64.65 | stg1AltThermoTempC2 = 57.3 | stg1AltThermoTempC23= 55.89  |
DATAQ: | Stg1ThermoTempC = 65.44 | stg1AltThermoTempC2 = 57.4 | stg1AltThermoTempC23= 56.59  |
DATAQ: | Stg1ThermoTempC = 65.83 | stg1AltThermoTempC2 = 57.48 | stg1AltThermoTempC3 = 56.83  |
DATAQ: | Stg1ThermoTempC = 66.68 | stg1AltThermoTempC2 = 57.76 | stg1AltThermoTempC3 = 57.76  |
DATAQ: | Stg1ThermoTempC = 67.12 | stg1AltThermoTempC2 = 57.89 | stg1AltThermoTempC3 = 58.01  |
DATAQ: | Stg1ThermoTempC = 68.2 | stg1AltThermoTempC2 = 58.13 | stg1AltThermoTempC23= 58.87  |
DATAQ: | Stg1ThermoTempC = 69.03 | stg1AltThermoTempC2 = 58.27 | stg1AltThermoTempC3 = 59.13  |
DATAQ: | Stg1ThermoTempC = 70.31 | stg1AltThermoTempC2 = 58.58 | stg1AltThermoTempC3 = 60.01  |
DATAQ: | Stg1ThermoTempC = 70.66 | stg1AltThermoTempC2 = 58.68 | stg1AltThermoTempC3 = 60.37  |
DATAQ: | Stg1ThermoTempC = 71.13 | stg1AltThermoTempC2 = 59.07 | stg1AltThermoTempC3 = 61.12  |
DATAQ: | Stg1ThermoTempC = 71.31 | stg1AltThermoTempC2 = 59.26 | stg1AltThermoTempC3 = 61.42  |
DATAQ: | Stg1ThermoTempC = 71.62 | stg1AltThermoTempC2 = 59.57 | stg1AltThermoTempC3 = 62.13  |
DATAQ: | Stg1ThermoTempC = 71.83 | stg1AltThermoTempC2 = 59.85 | stg1AltThermoTempC3 = 62.42  |
DATAQ: | Stg1ThermoTempC = 72.32 | stg1AltThermoTempC2 = 60.21 | stg1AltThermoTempC3 = 63.0  |
DATAQ: | Stg1ThermoTempC = 72.54 | stg1AltThermoTempC2 = 60.44 | stg1AltThermoTempC3 = 63.18  |
DATAQ: | Stg1ThermoTempC = 73.08 | stg1AltThermoTempC2 = 60.97 | stg1AltThermoTempC3 = 63.74  |
DATAQ: | Stg1ThermoTempC = 73.28 | stg1AltThermoTempC2 = 61.17 | stg1AltThermoTempC3 = 64.18  |
DATAQ: | Stg1ThermoTempC = 73.7 | stg1AltThermoTempC2 = 61.55 | stg1AltThermoTempC23= 64.43  |
DATAQ: | Stg1ThermoTempC = 74.03 | stg1AltThermoTempC2 = 61.89 | stg1AltThermoTempC3 = 64.72  |
DATAQ: | Stg1ThermoTempC = 74.53 | stg1AltThermoTempC2 = 62.28 | stg1AltThermoTempC3 = 65.17  |
DATAQ: | Stg1ThermoTempC = 74.81 | stg1AltThermoTempC2 = 62.59 | stg1AltThermoTempC3 = 65.67  |
DATAQ: | Stg1ThermoTempC = 75.21 | stg1AltThermoTempC2 = 62.96 | stg1AltThermoTempC3 = 65.87  |
DATAQ: | Stg1ThermoTempC = 75.89 | stg1AltThermoTempC2 = 63.46 | stg1AltThermoTempC3 = 66.36  |
DATAQ: | Stg1ThermoTempC = 76.07 | stg1AltThermoTempC2 = 63.73 | stg1AltThermoTempC3 = 66.63  |
DATAQ: | Stg1ThermoTempC = 76.48 | stg1AltThermoTempC2 = 64.08 | stg1AltThermoTempC3 = 67.04  |
DATAQ: | Stg1ThermoTempC = 76.76 | stg1AltThermoTempC2 = 64.7 | stg1AltThermoTempC23= 67.52  |
DATAQ: | Stg1ThermoTempC = 77.22 | stg1AltThermoTempC2 = 64.85 | stg1AltThermoTempC3 = 67.78  |
DATAQ: | Stg1ThermoTempC = 77.74 | stg1AltThermoTempC2 = 65.47 | stg1AltThermoTempC3 = 68.23  |
DATAQ: | Stg1ThermoTempC = 77.98 | stg1AltThermoTempC2 = 65.6 | stg1AltThermoTempC23= 68.45  |
DATAQ: | Stg1ThermoTempC = 78.34 | stg1AltThermoTempC2 = 66.1 | stg1AltThermoTempC23= 68.9  |
DATAQ: | Stg1ThermoTempC = 78.63 | stg1AltThermoTempC2 = 66.27 | stg1AltThermoTempC3 = 69.14  |
DATAQ: | Stg1ThermoTempC = 78.98 | stg1AltThermoTempC2 = 66.79 | stg1AltThermoTempC3 = 69.5  |
DATAQ: | Stg1ThermoTempC = 79.26 | stg1AltThermoTempC2 = 66.97 | stg1AltThermoTempC3 = 69.83  |
