consumableId,consumable/lot,numericValue,instrument
b4bfc71a-a09c-4463-ae30-3eaca0c00a03,TKM-1613,1.055,AdvBuild03
4732dfbe-af88-4777-9467-7477bc3cf0de,TKM-1613,1.066,114
452f17ca-7f60-402f-bfa8-fe8c5e53bed4,TKM-1613,1.07,108
5b59b22d-b54b-4eac-a819-923ea7f4b11a,TKM-1613,1.07,100
bf33e8de-5eed-4161-b367-3285eb1f1871,TKM-1613,1.07,AdvBuild03
ef1a035e-fe1f-4e5a-9725-2d179ff84aed,TKM-1613,1.07,106
46ffaeca-9c49-4f4d-b361-a7f80004eb31,TKM-1613,1.072,106
6d897894-0620-47d8-af2b-1fcabd813e1f,TKM-1613,1.073,114
b1ac2ea6-5947-4504-9cb8-a6e1ecacfac0,TKM-1613,1.073,107
cd423247-fa8b-45fb-bfe6-4c4a37f46a5a,TKM-1613,1.077,AdvBuild27
4638709b-7a37-4a5c-b32d-bc3542b8e341,TKM-1613,1.078,101
45cdb70b-e9f7-4e29-8e0a-ab58ed8ce35e,TKM-1613,1.079,AdvBuild06
390fc96a-b9c2-42d5-96f7-6ceec52f8d62,TKM-1613,1.082,AdvBuild06
1a8c3597-1908-4279-abcf-23eed5b7dbe6,TKM-1613,1.088,AdvBuild03
8e3c5574-c8c7-4216-9276-d851af25bfad,TKM-1613,1.09,AdvBuild03
ac1bffc0-bcb5-4c80-abf9-2b1d1cfe3e6c,TKM-1613,1.092,108
6c825c0d-edbd-4415-b06e-2ed8d3c1ec97,TKM-1613,1.094,AdvBuild06
e9a1fb0e-a2e5-459e-b3e9-0d1673878507,TKM-1613,1.098,108
eec3ba13-9e9e-46ad-a106-307d29ebafaa,TKM-1613,1.101,216
531cf475-af8c-42a2-bbc3-4d757f42a7af,TKM-1613,1.105,107
7c12f203-bc82-4140-b5ea-0c7f9b1ae72f,TKM-1613,1.106,226
924a79dd-9281-4808-a242-98b46fefe90e,TKM-1613,1.109,114
6243b348-d20f-4fc8-aa10-3f0a13abbd93,TKM-1613,1.114,217
1356e158-f63e-4226-abd6-6273e52a5c40,TKM-1613,1.127,103
