[49]Set PCR TEC:  HEAT: True  POW: 100
(124081) RAW PELTIER: TC-1 = 92.4, HSTemp = 19.0, modeled = 71.7, rawRR C/s = 4.4, output = 100.0
(124130) RAW PELTIER: TC-1 = 92.6, HSTemp = 19.0, modeled = 71.9, rawRR C/s = 4.6, output = 100.0
(124181) RAW PELTIER: TC-1 = 92.9, HSTemp = 19.0, modeled = 72.1, rawRR C/s = 4.6, output = 100.0
(124230) RAW PELTIER: TC-1 = 93.1, HSTemp = 19.0, modeled = 72.4, rawRR C/s = 4.7, output = 100.0
(124281) RAW PELTIER: TC-1 = 93.4, HSTemp = 19.0, modeled = 72.6, rawRR C/s = 4.6, output = 100.0
(124330) RAW PELTIER: TC-1 = 93.6, HSTemp = 19.0, modeled = 72.8, rawRR C/s = 4.6, output = 100.0
(124381) RAW PELTIER: TC-1 = 93.8, HSTemp = 19.0, modeled = 73.1, rawRR C/s = 4.3, output = 100.0
(124430) RAW PELTIER: TC-1 = 94.1, HSTemp = 19.0, modeled = 73.3, rawRR C/s = 4.3, output = 100.0
(124481) RAW PELTIER: TC-1 = 94.3, HSTemp = 19.0, modeled = 73.5, rawRR C/s = 4.4, output = 100.0
(124530) RAW PELTIER: TC-1 = 94.5, HSTemp = 19.0, modeled = 73.7, rawRR C/s = 4.3, output = 100.0
(124581) RAW PELTIER: TC-1 = 94.8, HSTemp = 19.0, modeled = 74.0, rawRR C/s = 4.5, output = 100.0
(124630) RAW PELTIER: TC-1 = 95.0, HSTemp = 19.0, modeled = 74.2, rawRR C/s = 4.3, output = 100.0
(124681) RAW PELTIER: TC-1 = 95.2, HSTemp = 19.0, modeled = 74.4, rawRR C/s = 4.1, output = 100.0
(124731) RAW PELTIER: TC-1 = 95.4, HSTemp = 19.1, modeled = 74.6, rawRR C/s = 4.2, output = 100.0
