timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
11189.936,89.56,27.65,40,65,,28.24,100
11190.086,90.21,27.85,40,65,,28.22,100
11190.086,90.21,27.85,40,65,,28.22,100
11190.086,90.21,27.85,40,65,,28.22,100
11190.086,90.21,27.85,40,65,,28.22,100
11190.086,90.21,27.85,40,65,,28.22,100
11190.086,90.21,27.85,40,65,,28.22,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.236,90.85,28.05,40,65,27.12,28.2,100
11190.387,91.68,28.28,40,65,,28.17,100
11190.387,91.68,28.28,40,65,,28.17,100
11190.387,91.68,28.28,40,65,,28.17,100
11190.387,91.68,28.28,40,65,,28.17,100
11190.387,91.68,28.28,40,65,,28.17,100
11190.387,91.68,28.28,40,65,,28.17,100
11190.537,92.28,28.48,40,65,,28.14,100
11190.537,92.28,28.48,40,65,,28.14,100
11190.537,92.28,28.48,40,65,,28.14,100
11190.537,92.28,28.48,40,65,,28.14,100
11190.537,92.28,28.48,40,65,,28.14,100
11190.537,92.28,28.48,40,65,,28.14,100
11190.687,92.89,28.69,40,65,,28.12,100
11190.687,92.89,28.69,40,65,,28.12,100
11190.687,92.89,28.69,40,65,,28.12,100
11190.687,92.89,28.69,40,65,,28.12,100
11190.687,92.89,28.69,40,65,,28.12,100
11190.687,92.89,28.69,40,65,,28.12,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.837,93.65,28.92,40,65,28.37,28.1,100
11190.987,94.24,29.13,40,65,,28.09,100
11190.987,94.24,29.13,40,65,,28.09,100
11190.987,94.24,29.13,40,65,,28.09,100
11190.987,94.24,29.13,40,65,,28.09,100
11190.987,94.24,29.13,40,65,,28.09,100
11190.987,94.24,29.13,40,65,,28.09,100
11191.137,94.82,29.35,40,65,,28.08,100
11191.137,94.82,29.35,40,65,,28.08,100
11191.137,94.82,29.35,40,65,,28.08,100
11191.137,94.82,29.35,40,65,,28.08,100
11191.137,94.82,29.35,40,65,,28.08,100
11191.137,94.82,29.35,40,65,,28.08,100
11191.288,95.55,29.58,40,65,,28.05,100
11191.288,95.55,29.58,40,65,,28.05,100
11191.288,95.55,29.58,40,65,,28.05,100
11191.288,95.55,29.58,40,65,,28.05,100
11191.288,95.55,29.58,40,65,,28.05,100
11191.288,95.55,29.58,40,65,,28.05,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.438,96.09,29.8,40,65,29.99,28.04,100
11191.588,96.62,30.02,40,65,,28.02,100
11191.588,96.62,30.02,40,65,,28.02,100
11191.588,96.62,30.02,40,65,,28.02,100
11191.588,96.62,30.02,40,65,,28.02,100
11191.588,96.62,30.02,40,65,,28.02,100
11191.588,96.62,30.02,40,65,,28.02,100
11191.739,97.31,30.27,40,65,,28,100
11191.739,97.31,30.27,40,65,,28,100
11191.739,97.31,30.27,40,65,,28,100
11191.739,97.31,30.27,40,65,,28,100
11191.739,97.31,30.27,40,65,,28,100
11191.739,97.31,30.27,40,65,,28,100
11191.889,97.82,30.49,40,65,,27.99,100
11191.889,97.82,30.49,40,65,,27.99,100
11191.889,97.82,30.49,40,65,,27.99,100
11191.889,97.82,30.49,40,65,,27.99,100
11191.889,97.82,30.49,40,65,,27.99,100
11191.889,97.82,30.49,40,65,,27.99,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.039,98.31,30.71,40,65,31.41,27.98,100
11192.19,99,30.96,40,65,,27.97,100
11192.19,99,30.96,40,65,,27.97,100
11192.19,99,30.96,40,65,,27.97,100
11192.19,99,30.96,40,65,,27.97,100
11192.19,99,30.96,40,65,,27.97,100
11192.19,99,30.96,40,65,,27.97,100
11192.34,99.48,31.19,40,65,,27.96,100
11192.34,99.48,31.19,40,65,,27.96,100
11192.34,99.48,31.19,40,65,,27.96,100
11192.34,99.48,31.19,40,65,,27.96,100
11192.34,99.48,31.19,40,65,,27.96,100
11192.34,99.48,31.19,40,65,,27.96,100
11192.49,99.97,31.42,40,65,,27.95,100
11192.49,99.97,31.42,40,65,,27.95,100
11192.49,99.97,31.42,40,65,,27.95,100
11192.49,99.97,31.42,40,65,,27.95,100
11192.49,99.97,31.42,40,65,,27.95,100
11192.49,99.97,31.42,40,65,,27.95,100
11192.641,100.59,31.67,40,65,,27.93,100
11192.641,100.59,31.67,40,65,,27.93,100
11192.641,100.59,31.67,40,65,,27.93,100
11192.641,100.59,31.67,40,65,,27.93,100
