timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
3944.758,106.36,31.17,40,65,,37.72,100
3944.908,106.86,31.42,40,65,,37.7,99.1
3944.908,106.86,31.42,40,65,,37.7,99.1
3944.908,106.86,31.42,40,65,,37.7,99.1
3944.908,106.86,31.42,40,65,,37.7,99.1
3944.908,106.86,31.42,40,65,,37.7,99.1
3944.908,106.86,31.42,40,65,,37.7,99.1
3945.058,107.53,31.69,40,65,,37.67,95.9
3945.058,107.53,31.69,40,65,,37.67,95.9
3945.058,107.53,31.69,40,65,,37.67,95.9
3945.058,107.53,31.69,40,65,,37.67,95.9
3945.058,107.53,31.69,40,65,,37.67,95.9
3945.058,107.53,31.69,40,65,,37.67,95.9
3945.208,108.03,31.95,40,65,,37.65,93.4
3945.208,108.03,31.95,40,65,,37.65,93.4
3945.208,108.03,31.95,40,65,,37.65,93.4
3945.208,108.03,31.95,40,65,,37.65,93.4
3945.208,108.03,31.95,40,65,,37.65,93.4
3945.208,108.03,31.95,40,65,,37.65,93.4
3945.358,108.54,32.2,40,65,,37.64,90.7
3945.358,108.54,32.2,40,65,,37.64,90.7
3945.358,108.54,32.2,40,65,,37.64,90.7
3945.358,108.54,32.2,40,65,,37.64,90.7
3945.358,108.54,32.2,40,65,,37.64,90.7
3945.358,108.54,32.2,40,65,,37.64,90.7
3945.509,109.14,32.48,40,65,,37.62,88.4
3945.509,109.14,32.48,40,65,,37.62,88.4
3945.509,109.14,32.48,40,65,,37.62,88.4
3945.509,109.14,32.48,40,65,,37.62,88.4
3945.509,109.14,32.48,40,65,,37.62,88.4
3945.509,109.14,32.48,40,65,,37.62,88.4
3945.659,109.57,32.73,40,65,,37.6,86.2
3945.659,109.57,32.73,40,65,,37.6,86.2
3945.659,109.57,32.73,40,65,,37.6,86.2
3945.659,109.57,32.73,40,65,,37.6,86.2
3945.659,109.57,32.73,40,65,,37.6,86.2
3945.659,109.57,32.73,40,65,,37.6,86.2
3945.809,109.95,32.98,40,65,,37.59,85.5
3945.809,109.95,32.98,40,65,,37.59,85.5
3945.809,109.95,32.98,40,65,,37.59,85.5
3945.809,109.95,32.98,40,65,,37.59,85.5
3945.809,109.95,32.98,40,65,,37.59,85.5
3945.809,109.95,32.98,40,65,,37.59,85.5
3945.96,110.4,33.24,40,65,,37.58,83.4
3945.96,110.4,33.24,40,65,,37.58,83.4
3945.96,110.4,33.24,40,65,,37.58,83.4
3945.96,110.4,33.24,40,65,,37.58,83.4
3945.96,110.4,33.24,40,65,,37.58,83.4
3945.96,110.4,33.24,40,65,,37.58,83.4
3946.11,110.7,33.48,40,65,,37.57,82.3
3946.11,110.7,33.48,40,65,,37.57,82.3
3946.11,110.7,33.48,40,65,,37.57,82.3
3946.11,110.7,33.48,40,65,,37.57,82.3
3946.11,110.7,33.48,40,65,,37.57,82.3
3946.11,110.7,33.48,40,65,,37.57,82.3
3946.26,110.97,33.72,40,65,,37.55,81.7
3946.26,110.97,33.72,40,65,,37.55,81.7
3946.26,110.97,33.72,40,65,,37.55,81.7
3946.26,110.97,33.72,40,65,,37.55,81.7
3946.26,110.97,33.72,40,65,,37.55,81.7
3946.26,110.97,33.72,40,65,,37.55,81.7
3946.41,111.28,33.97,40,65,,37.55,80.9
3946.41,111.28,33.97,40,65,,37.55,80.9
3946.41,111.28,33.97,40,65,,37.55,80.9
3946.41,111.28,33.97,40,65,,37.55,80.9
3946.41,111.28,33.97,40,65,,37.55,80.9
3946.41,111.28,33.97,40,65,,37.55,80.9
3946.56,111.46,34.19,40,65,,37.54,80.4
3946.56,111.46,34.19,40,65,,37.54,80.4
3946.56,111.46,34.19,40,65,,37.54,80.4
3946.56,111.46,34.19,40,65,,37.54,80.4
3946.56,111.46,34.19,40,65,,37.54,80.4
3946.56,111.46,34.19,40,65,,37.54,80.4
3946.71,111.64,34.42,40,65,,37.53,79.7
3946.71,111.64,34.42,40,65,,37.53,79.7
3946.71,111.64,34.42,40,65,,37.53,79.7
3946.71,111.64,34.42,40,65,,37.53,79.7
3946.71,111.64,34.42,40,65,,37.53,79.7
3946.71,111.64,34.42,40,65,,37.53,79.7
3946.781,,,,,31.13,,
3946.86,111.83,34.65,40,65,,37.53,79.3
3946.86,111.83,34.65,40,65,,37.53,79.3
3946.86,111.83,34.65,40,65,,37.53,79.3
3946.86,111.83,34.65,40,65,,37.53,79.3
3946.86,111.83,34.65,40,65,,37.53,79.3
3946.86,111.83,34.65,40,65,,37.53,79.3
3947.01,111.95,34.88,40,65,,37.53,79
3947.01,111.95,34.88,40,65,,37.53,79
3947.01,111.95,34.88,40,65,,37.53,79
3947.01,111.95,34.88,40,65,,37.53,79
3947.01,111.95,34.88,40,65,,37.53,79
3947.01,111.95,34.88,40,65,,37.53,79
3947.16,112.05,35.1,40,65,,37.53,78.9
3947.16,112.05,35.1,40,65,,37.53,78.9
3947.16,112.05,35.1,40,65,,37.53,78.9
3947.16,112.05,35.1,40,65,,37.53,78.9
3947.16,112.05,35.1,40,65,,37.53,78.9
3947.16,112.05,35.1,40,65,,37.53,78.9
3947.31,112.16,35.32,40,65,,37.53,78.4
3947.31,112.16,35.32,40,65,,37.53,78.4
3947.31,112.16,35.32,40,65,,37.53,78.4
3947.31,112.16,35.32,40,65,,37.53,78.4
3947.31,112.16,35.32,40,65,,37.53,78.4
3947.31,112.16,35.32,40,65,,37.53,78.4
3947.46,112.23,35.53,40,65,,37.53,78.4
3947.46,112.23,35.53,40,65,,37.53,78.4
3947.46,112.23,35.53,40,65,,37.53,78.4
3947.46,112.23,35.53,40,65,,37.53,78.4
3947.46,112.23,35.53,40,65,,37.53,78.4
3947.46,112.23,35.53,40,65,,37.53,78.4
3947.61,112.28,35.74,40,65,,37.53,78.4
3947.61,112.28,35.74,40,65,,37.53,78.4
3947.61,112.28,35.74,40,65,,37.53,78.4
3947.61,112.28,35.74,40,65,,37.53,78.4
3947.61,112.28,35.74,40,65,,37.53,78.4
3947.61,112.28,35.74,40,65,,37.53,78.4
3947.76,112.33,35.95,40,65,,37.53,78.1
3947.76,112.33,35.95,40,65,,37.53,78.1
3947.76,112.33,35.95,40,65,,37.53,78.1
3947.76,112.33,35.95,40,65,,37.53,78.1
3947.76,112.33,35.95,40,65,,37.53,78.1
3947.76,112.33,35.95,40,65,,37.53,78.1
3947.91,112.37,36.16,40,65,,37.53,78.1
3947.91,112.37,36.16,40,65,,37.53,78.1
