***Stage1 ON***
[46]TC TEC set to 50°C
(1912774) _setStage1TecTempC: TEC Set Temp 50.000000
(1912775) _resetThermalControlState: RESET Peltier 0 control state
(1912779) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1912786) _setThermalControlState: thermalControl-0: changing state 3->1
(1912793) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1912801) thermalControlSetEnable: Enabling Peltier 0
(1933013) TC: TC-0 = 101.18, modeled = 33.89, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 20200, exptTempC = 50.00, TecRate = 1.400
(1933162) TC: TC-0 = 101.20, modeled = 34.10, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 20350, exptTempC = 50.00, TecRate = 1.396
(1933314) TC: TC-0 = 101.24, modeled = 34.31, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 20500, exptTempC = 50.00, TecRate = 1.392
(1933462) TC: TC-0 = 101.28, modeled = 34.52, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 20650, exptTempC = 50.00, TecRate = 1.388
(1933613) TC: TC-0 = 101.30, modeled = 34.73, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 20800, exptTempC = 50.00, TecRate = 1.383
(1933767) TC: TC-0 = 101.32, modeled = 34.93, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 20950, exptTempC = 50.00, TecRate = 1.379
(1933913) TC: TC-0 = 101.35, modeled = 35.14, target = 50.00, heatSink = -86.79, output = 100.0, timeout = 21100, exptTempC = 50.00, TecRate = 1.375
(1934063) TC: TC-0 = 101.40, modeled = 35.34, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 21250, exptTempC = 50.00, TecRate = 1.371
(1934213) TC: TC-0 = 101.42, modeled = 35.55, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 21400, exptTempC = 50.00, TecRate = 1.366
(1934364) TC: TC-0 = 101.44, modeled = 35.75, target = 50.00, heatSink = -86.79, output = 100.0, timeout = 21550, exptTempC = 50.00, TecRate = 1.362
(1934513) TC: TC-0 = 101.46, modeled = 35.96, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 21700, exptTempC = 50.00, TecRate = 1.357
(1934666) TC: TC-0 = 101.48, modeled = 36.16, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 21850, exptTempC = 50.00, TecRate = 1.353
(1934820) TC: TC-0 = 101.51, modeled = 36.36, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 22000, exptTempC = 50.00, TecRate = 1.349
(1934965) TC: TC-0 = 101.53, modeled = 36.57, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 22150, exptTempC = 50.00, TecRate = 1.345
(1935115) TC: TC-0 = 101.56, modeled = 36.77, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 22300, exptTempC = 50.00, TecRate = 1.341
(1935265) TC: TC-0 = 101.58, modeled = 36.97, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 22450, exptTempC = 50.00, TecRate = 1.336
