***Stage1 ON***
[113]TC TEC set to 50°C
(6218536) _setStage1TecTempC: TEC Set Temp 50.000000
(6218537) _resetThermalControlState: RESET Peltier 0 control state
(6218541) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(6218548) _setThermalControlState: thermalControl-0: changing state 3->1
(6218555) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(6218563) thermalControlSetEnable: Enabling Peltier 0
(6235286) TC: TC-0 = 75.65, modeled = 11.48, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.340
(6235436) TC: TC-0 = 76.06, modeled = 11.68, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.345
(6235585) TC: TC-0 = 76.43, modeled = 11.88, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.348
(6235736) TC: TC-0 = 76.81, modeled = 12.08, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.352
(6235892) TC: TC-0 = 77.18, modeled = 12.29, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.355
(6236037) TC: TC-0 = 77.43, modeled = 12.49, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.356
(6236189) TC: TC-0 = 77.80, modeled = 12.69, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.360
(6236337) TC: TC-0 = 78.18, modeled = 12.90, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.363
(6236489) TC: TC-0 = 78.54, modeled = 13.10, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.367
(6236638) TC: TC-0 = 78.88, modeled = 13.31, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.369
(6236794) TC: TC-0 = 79.09, modeled = 13.51, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.369
(6236939) TC: TC-0 = 79.42, modeled = 13.72, target = 50.00, heatSink = -86.44, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.372
(6237090) TC: TC-0 = 79.75, modeled = 13.93, target = 50.00, heatSink = -86.17, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.375
(6237240) TC: TC-0 = 80.08, modeled = 14.13, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.377
(6237390) TC: TC-0 = 80.43, modeled = 14.34, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.380
(6237540) TC: TC-0 = 80.74, modeled = 14.55, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.382
(6237695) TC: TC-0 = 80.94, modeled = 14.75, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.382
(6237841) TC: TC-0 = 81.23, modeled = 14.96, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.384
(6237990) TC: TC-0 = 81.53, modeled = 15.17, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.386
(6238139) TC: TC-0 = 81.81, modeled = 15.38, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.387
(6238290) TC: TC-0 = 82.10, modeled = 15.59, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.389
(6238441) TC: TC-0 = 82.38, modeled = 15.79, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.390
(6238594) TC: TC-0 = 82.56, modeled = 16.00, target = 50.00, heatSink = -86.46, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.389
(6238739) TC: TC-0 = 82.84, modeled = 16.21, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.391
(6238891) TC: TC-0 = 83.11, modeled = 16.42, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.392
(6239041) TC: TC-0 = 83.37, modeled = 16.63, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.393
(6239191) TC: TC-0 = 83.62, modeled = 16.84, target = 50.00, heatSink = -86.46, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6239343) TC: TC-0 = 83.88, modeled = 17.05, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.395
(6239498) TC: TC-0 = 84.05, modeled = 17.26, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6239643) TC: TC-0 = 84.29, modeled = 17.46, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6239793) TC: TC-0 = 84.53, modeled = 17.67, target = 50.00, heatSink = -85.93, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.395
(6239943) TC: TC-0 = 84.77, modeled = 17.88, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.395
(6240093) TC: TC-0 = 85.00, modeled = 18.09, target = 50.00, heatSink = -86.46, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.395
(6240247) TC: TC-0 = 85.21, modeled = 18.30, target = 50.00, heatSink = -86.09, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.395
(6240393) TC: TC-0 = 85.38, modeled = 18.51, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6240542) TC: TC-0 = 85.60, modeled = 18.72, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6240693) TC: TC-0 = 85.83, modeled = 18.93, target = 50.00, heatSink = -86.04, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.395
(6240843) TC: TC-0 = 86.03, modeled = 19.14, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6240994) TC: TC-0 = 86.24, modeled = 19.35, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6241148) TC: TC-0 = 86.45, modeled = 19.56, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.394
(6241294) TC: TC-0 = 86.60, modeled = 19.77, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.393
(6241444) TC: TC-0 = 86.81, modeled = 19.97, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.392
(6241595) TC: TC-0 = 86.99, modeled = 20.18, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.392
(6241745) TC: TC-0 = 87.19, modeled = 20.39, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.391
(6241895) TC: TC-0 = 87.37, modeled = 20.60, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.391
(6242052) TC: TC-0 = 87.50, modeled = 20.81, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.388
(6242199) TC: TC-0 = 87.68, modeled = 21.02, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.388
(6242349) TC: TC-0 = 87.86, modeled = 21.23, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.387
(6242498) TC: TC-0 = 88.06, modeled = 21.43, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.387
(6242648) TC: TC-0 = 88.23, modeled = 21.64, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.385
