(5117756) TC: TC-0 = 100.59, modeled = 48.43, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 25150, exptTempC = 0.00, TecRate = 1.037
(5117906) TC: TC-0 = 100.64, modeled = 48.58, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 25300, exptTempC = 0.00, TecRate = 1.034
(5118063) TC: TC-0 = 100.68, modeled = 48.74, target = 50.00, heatSink = -87.36, output = 50.0, timeout = 25450, exptTempC = 0.00, TecRate = 1.031
(5118208) TC: TC-0 = 100.73, modeled = 48.89, target = 50.00, heatSink = -86.91, output = -100.0, timeout = 25550, exptTempC = 0.00, TecRate = 1.029
(5118358) TC: TC-0 = 100.77, modeled = 49.05, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 25700, exptTempC = 0.00, TecRate = 1.026
(5118508) TC: TC-0 = 100.82, modeled = 49.20, target = 50.00, heatSink = -86.44, output = -100.0, timeout = 25850, exptTempC = 0.00, TecRate = 1.024
(5118658) TC: TC-0 = 100.85, modeled = 49.36, target = 50.00, heatSink = -86.94, output = -100.0, timeout = 26000, exptTempC = 0.00, TecRate = 1.021
(5118809) TC: TC-0 = 100.90, modeled = 49.51, target = 50.00, heatSink = -87.06, output = -100.0, timeout = 26150, exptTempC = 0.00, TecRate = 1.018
(5118964) TC: TC-0 = 100.95, modeled = 49.66, target = 50.00, heatSink = -87.02, output = -100.0, timeout = 26300, exptTempC = 0.00, TecRate = 1.016
(5119111) TC: TC-0 = 100.98, modeled = 49.81, target = 50.00, heatSink = -87.11, output = -100.0, timeout = 26450, exptTempC = 0.00, TecRate = 1.013
(5119260) TC: TC-0 = 101.02, modeled = 49.96, target = 50.00, heatSink = -86.68, output = -100.0, timeout = 26600, exptTempC = 0.00, TecRate = 1.010
(5119410) TC: TC-0 = 101.07, modeled = 50.12, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 26750, exptTempC = 0.00, TecRate = 1.008
(5119561) TC: TC-0 = 101.11, modeled = 50.27, target = 50.00, heatSink = -86.66, output = -100.0, timeout = 26900, exptTempC = 0.00, TecRate = 1.005
(5119710) TC: TC-0 = 101.14, modeled = 50.42, target = 50.00, heatSink = -87.23, output = -100.0, timeout = 27050, exptTempC = 0.00, TecRate = 1.002
(5119762) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 50.467129, threshold: 50.200001
(5119806) _setThermalControlState: thermalControl-0: changing state 1->3
(5119807) _setTempReachedCallback: Set Temp Reached
(5119867) TC: TC-0 = 101.19, modeled = 50.57, target = 50.00, heatSink = -87.07, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 1.000
(5120021) TC: TC-0 = 101.20, modeled = 50.72, target = 50.00, heatSink = -87.19, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.997
(5120166) TC: TC-0 = 101.23, modeled = 50.87, target = 50.00, heatSink = -86.60, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.994
(5120315) TC: TC-0 = 101.27, modeled = 51.01, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.991
(5120466) TC: TC-0 = 101.32, modeled = 51.16, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.989
(5120615) TC: TC-0 = 101.35, modeled = 51.31, target = 50.00, heatSink = -87.28, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.986
(5120769) TC: TC-0 = 101.37, modeled = 51.46, target = 50.00, heatSink = -87.31, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.983
