timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2770.08,81.34,62.05,65.0,31.5,35.13,,,,,,,,,,,,,
2770.08,81.34,62.05,65.0,31.5,35.13,,,,,,,,,,,,,
2770.08,81.34,62.05,65.0,31.5,35.13,,,,,,,,,,,,,
2770.08,81.34,62.05,65.0,31.5,35.13,,,,,,,,,,,,,
2770.23,81.61,62.88,65.0,31.74,35.13,,,,,,,,,,,,,
2770.23,81.61,62.88,65.0,31.74,35.13,,,,,,,,,,,,,
2770.23,81.61,62.88,65.0,31.74,35.13,,,,,,,,,,,,,
2770.23,81.61,62.88,65.0,31.74,35.13,,,,,,,,,,,,,
2770.23,81.61,62.88,65.0,31.74,35.13,,,,,,,,,,,,,
2770.38,81.46,63.58,65.0,31.98,35.13,,,,,,,,,,,,,
2770.38,81.46,63.58,65.0,31.98,35.13,,,,,,,,,,,,,
2770.38,81.46,63.58,65.0,31.98,35.13,,,,,,,,,,,,,
2770.38,81.46,63.58,65.0,31.98,35.13,,,,,,,,,,,,,
2770.38,81.46,63.58,65.0,31.98,35.13,,,,,,,,,,,,,
2770.531,81.07,64.15,65.0,32.25,35.13,,,,,,,,,,,,,
2770.531,81.07,64.15,65.0,32.25,35.13,,,,,,,,,,,,,
2770.531,81.07,64.15,65.0,32.25,35.13,,,,,,,,,,,,,
2770.531,81.07,64.15,65.0,32.25,35.13,,,,,,,,,,,,,
2770.531,81.07,64.15,65.0,32.25,35.13,,,,,,,,,,,,,
2770.681,80.24,64.56,65.0,32.66,35.13,,,,,,,,,,,,,
2770.681,80.24,64.56,65.0,32.66,35.13,,,,,,,,,,,,,
2770.681,80.24,64.56,65.0,32.66,35.13,,,,,,,,,,,,,
2770.681,80.24,64.56,65.0,32.66,35.13,,,,,,,,,,,,,
2770.681,80.24,64.56,65.0,32.66,35.13,,,,,,,,,,,,,
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.75,,,,,,70.0,2257.0,566.0,85.0,101.0,55.0,110.0,87.0,17.0,2701.0,0.5,64.67,64.67
2770.827,79.44,64.85,65.0,32.96,35.13,,,,,,,,,,,,,
2770.827,79.44,64.85,65.0,32.96,35.13,,,,,,,,,,,,,
2770.827,79.44,64.85,65.0,32.96,35.13,,,,,,,,,,,,,
2770.827,79.44,64.85,65.0,32.96,35.13,,,,,,,,,,,,,
2770.827,79.44,64.85,65.0,32.96,35.13,,,,,,,,,,,,,
2770.977,78.54,65.01,65.0,33.31,35.13,,,,,,,,,,,,,
2770.977,78.54,65.01,65.0,33.31,35.13,,,,,,,,,,,,,
2770.977,78.54,65.01,65.0,33.31,35.13,,,,,,,,,,,,,
2770.977,78.54,65.01,65.0,33.31,35.13,,,,,,,,,,,,,
2770.977,78.54,65.01,65.0,33.31,35.13,,,,,,,,,,,,,
2771.13,77.24,65.06,65.0,33.74,35.13,,,,,,,,,,,,,
2771.13,77.24,65.06,65.0,33.74,35.13,,,,,,,,,,,,,
2771.13,77.24,65.06,65.0,33.74,35.13,,,,,,,,,,,,,
2771.13,77.24,65.06,65.0,33.74,35.13,,,,,,,,,,,,,
2771.13,77.24,65.06,65.0,33.74,35.13,,,,,,,,,,,,,
2771.273,76.24,65.0,65.0,34.03,65.0,,,,,,,,,,,,,
2771.273,76.24,65.0,65.0,34.03,65.0,,,,,,,,,,,,,
2771.273,76.24,65.0,65.0,34.03,65.0,,,,,,,,,,,,,
2771.273,76.24,65.0,65.0,34.03,65.0,,,,,,,,,,,,,
2771.273,76.24,65.0,65.0,34.03,65.0,,,,,,,,,,,,,
2771.423,75.34,64.88,65.0,34.26,65.0,,,,,,,,,,,,,
2771.423,75.34,64.88,65.0,34.26,65.0,,,,,,,,,,,,,
2771.423,75.34,64.88,65.0,34.26,65.0,,,,,,,,,,,,,
2771.423,75.34,64.88,65.0,34.26,65.0,,,,,,,,,,,,,
2771.423,75.34,64.88,65.0,34.26,65.0,,,,,,,,,,,,,
2771.573,74.37,64.71,65.0,34.45,65.0,,,,,,,,,,,,,
2771.573,74.37,64.71,65.0,34.45,65.0,,,,,,,,,,,,,
2771.573,74.37,64.71,65.0,34.45,65.0,,,,,,,,,,,,,
2771.573,74.37,64.71,65.0,34.45,65.0,,,,,,,,,,,,,
2771.573,74.37,64.71,65.0,34.45,65.0,,,,,,,,,,,,,
2771.723,73.83,64.54,65.0,34.55,65.0,,,,,,,,,,,,,
2771.723,73.83,64.54,65.0,34.55,65.0,,,,,,,,,,,,,
2771.723,73.83,64.54,65.0,34.55,65.0,,,,,,,,,,,,,
2771.723,73.83,64.54,65.0,34.55,65.0,,,,,,,,,,,,,
2771.723,73.83,64.54,65.0,34.55,65.0,,,,,,,,,,,,,
2771.873,73.44,64.37,65.0,34.58,65.0,,,,,,,,,,,,,
2771.873,73.44,64.37,65.0,34.58,65.0,,,,,,,,,,,,,
2771.873,73.44,64.37,65.0,34.58,65.0,,,,,,,,,,,,,
2771.873,73.44,64.37,65.0,34.58,65.0,,,,,,,,,,,,,
2771.873,73.44,64.37,65.0,34.58,65.0,,,,,,,,,,,,,
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2771.884,,,,,,70.0,2255.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2703.0,0.5,64.37,64.37
2772.023,73.12,64.24,65.0,34.6,65.0,,,,,,,,,,,,,
2772.023,73.12,64.24,65.0,34.6,65.0,,,,,,,,,,,,,
2772.023,73.12,64.24,65.0,34.6,65.0,,,,,,,,,,,,,
2772.023,73.12,64.24,65.0,34.6,65.0,,,,,,,,,,,,,
2772.023,73.12,64.24,65.0,34.6,65.0,,,,,,,,,,,,,
2772.173,72.97,64.13,65.0,34.58,65.0,,,,,,,,,,,,,
2772.173,72.97,64.13,65.0,34.58,65.0,,,,,,,,,,,,,
2772.173,72.97,64.13,65.0,34.58,65.0,,,,,,,,,,,,,
2772.173,72.97,64.13,65.0,34.58,65.0,,,,,,,,,,,,,
2772.173,72.97,64.13,65.0,34.58,65.0,,,,,,,,,,,,,
2772.323,72.9,64.06,65.0,34.56,65.0,,,,,,,,,,,,,
2772.323,72.9,64.06,65.0,34.56,65.0,,,,,,,,,,,,,
2772.323,72.9,64.06,65.0,34.56,65.0,,,,,,,,,,,,,
2772.323,72.9,64.06,65.0,34.56,65.0,,,,,,,,,,,,,
2772.323,72.9,64.06,65.0,34.56,65.0,,,,,,,,,,,,,
2772.473,72.87,64.03,65.0,34.51,65.0,,,,,,,,,,,,,
2772.473,72.87,64.03,65.0,34.51,65.0,,,,,,,,,,,,,
2772.473,72.87,64.03,65.0,34.51,65.0,,,,,,,,,,,,,
2772.473,72.87,64.03,65.0,34.51,65.0,,,,,,,,,,,,,
2772.473,72.87,64.03,65.0,34.51,65.0,,,,,,,,,,,,,
2772.623,72.88,64.03,65.0,34.46,65.0,,,,,,,,,,,,,
2772.623,72.88,64.03,65.0,34.46,65.0,,,,,,,,,,,,,
2772.623,72.88,64.03,65.0,34.46,65.0,,,,,,,,,,,,,
2772.623,72.88,64.03,65.0,34.46,65.0,,,,,,,,,,,,,
2772.623,72.88,64.03,65.0,34.46,65.0,,,,,,,,,,,,,
2772.773,72.91,64.06,65.0,34.4,65.0,,,,,,,,,,,,,
2772.773,72.91,64.06,65.0,34.4,65.0,,,,,,,,,,,,,
2772.773,72.91,64.06,65.0,34.4,65.0,,,,,,,,,,,,,
2772.773,72.91,64.06,65.0,34.4,65.0,,,,,,,,,,,,,
2772.773,72.91,64.06,65.0,34.4,65.0,,,,,,,,,,,,,
2772.923,72.97,64.11,65.0,34.35,65.0,,,,,,,,,,,,,
2772.923,72.97,64.11,65.0,34.35,65.0,,,,,,,,,,,,,
2772.923,72.97,64.11,65.0,34.35,65.0,,,,,,,,,,,,,
2772.923,72.97,64.11,65.0,34.35,65.0,,,,,,,,,,,,,
2772.923,72.97,64.11,65.0,34.35,65.0,,,,,,,,,,,,,
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2772.989,,,,,,70.0,2256.0,565.0,86.0,102.0,55.0,110.0,86.0,17.0,2701.0,0.5,64.14,64.14
2773.073,73.01,64.19,65.0,34.32,65.0,,,,,,,,,,,,,
2773.073,73.01,64.19,65.0,34.32,65.0,,,,,,,,,,,,,
2773.073,73.01,64.19,65.0,34.32,65.0,,,,,,,,,,,,,
2773.073,73.01,64.19,65.0,34.32,65.0,,,,,,,,,,,,,
2773.073,73.01,64.19,65.0,34.32,65.0,,,,,,,,,,,,,
2773.223,73.04,64.27,65.0,34.28,65.0,,,,,,,,,,,,,
2773.223,73.04,64.27,65.0,34.28,65.0,,,,,,,,,,,,,
2773.223,73.04,64.27,65.0,34.28,65.0,,,,,,,,,,,,,
2773.223,73.04,64.27,65.0,34.28,65.0,,,,,,,,,,,,,
2773.223,73.04,64.27,65.0,34.28,65.0,,,,,,,,,,,,,
2773.373,73.07,64.37,65.0,34.22,65.0,,,,,,,,,,,,,
