timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
7150.9,86.46,87.13,80,,36.47
7150.9,86.46,87.13,80,,36.47
7150.9,86.46,87.13,80,,36.47
7150.9,86.46,87.13,80,,36.47
7151.05,85.16,86.49,80,79.74,36.64
7151.05,85.16,86.49,80,79.74,36.64
7151.05,85.16,86.49,80,79.74,36.64
7151.05,85.16,86.49,80,79.74,36.64
7151.05,85.16,86.49,80,79.74,36.64
7151.201,83.44,85.75,80,,36.89
7151.201,83.44,85.75,80,,36.89
7151.201,83.44,85.75,80,,36.89
7151.201,83.44,85.75,80,,36.89
7151.351,82.15,85.03,80,,37.08
7151.351,82.15,85.03,80,,37.08
7151.351,82.15,85.03,80,,37.08
7151.351,82.15,85.03,80,,37.08
7151.501,80.86,84.33,80,,37.28
7151.501,80.86,84.33,80,,37.28
7151.501,80.86,84.33,80,,37.28
7151.501,80.86,84.33,80,,37.28
7151.663,79.15,83.55,80,74.06,37.52
7151.663,79.15,83.55,80,74.06,37.52
7151.663,79.15,83.55,80,74.06,37.52
7151.663,79.15,83.55,80,74.06,37.52
7151.663,79.15,83.55,80,74.06,37.52
7151.813,77.89,82.8,80,,37.71
7151.813,77.89,82.8,80,,37.71
7151.813,77.89,82.8,80,,37.71
7151.813,77.89,82.8,80,,37.71
7151.963,76.72,82.08,80,,37.89
7151.963,76.72,82.08,80,,37.89
7151.963,76.72,82.08,80,,37.89
7151.963,76.72,82.08,80,,37.89
7152.112,75.54,81.37,80,,38.09
7152.112,75.54,81.37,80,,38.09
7152.112,75.54,81.37,80,,38.09
7152.112,75.54,81.37,80,,38.09
7152.264,75.03,80.81,80,71.53,38.2
7152.264,75.03,80.81,80,71.53,38.2
7152.264,75.03,80.81,80,71.53,38.2
7152.264,75.03,80.81,80,71.53,38.2
7152.264,75.03,80.81,80,71.53,38.2
7152.416,74.75,80.4,80,,38.26
7152.416,74.75,80.4,80,,38.26
7152.416,74.75,80.4,80,,38.26
7152.416,74.75,80.4,80,,38.26
7152.566,74.67,80.1,80,,38.3
7152.566,74.67,80.1,80,,38.3
7152.566,74.67,80.1,80,,38.3
7152.566,74.67,80.1,80,,38.3
7152.716,74.76,79.91,80,,38.32
7152.716,74.76,79.91,80,,38.32
7152.716,74.76,79.91,80,,38.32
7152.716,74.76,79.91,80,,38.32
7152.861,74.95,79.81,80,,38.33
7152.861,74.95,79.81,80,,38.33
7152.861,74.95,79.81,80,,38.33
7152.861,74.95,79.81,80,,38.33
7152.911,,,,72.73,
7153.007,75.28,79.78,80,,38.32
7153.007,75.28,79.78,80,,38.32
7153.007,75.28,79.78,80,,38.32
7153.007,75.28,79.78,80,,38.32
7153.157,75.54,79.8,80,,38.3
7153.157,75.54,79.8,80,,38.3
7153.157,75.54,79.8,80,,38.3
7153.157,75.54,79.8,80,,38.3
7153.306,75.81,79.84,80,,38.29
7153.306,75.81,79.84,80,,38.29
7153.306,75.81,79.84,80,,38.29
7153.306,75.81,79.84,80,,38.29
7153.457,76.16,79.9,80,74,38.26
7153.457,76.16,79.9,80,74,38.26
7153.457,76.16,79.9,80,74,38.26
7153.457,76.16,79.9,80,74,38.26
7153.457,76.16,79.9,80,74,38.26
7153.607,76.37,79.97,80,,38.24
7153.607,76.37,79.97,80,,38.24
7153.607,76.37,79.97,80,,38.24
7153.607,76.37,79.97,80,,38.24
7153.756,76.56,80.02,80,,38.22
7153.756,76.56,80.02,80,,38.22
7153.756,76.56,80.02,80,,38.22
7153.756,76.56,80.02,80,,38.22
7153.908,76.79,80.07,80,,38.19
7153.908,76.79,80.07,80,,38.19
7153.908,76.79,80.07,80,,38.19
