(9192059) systemRequestStateChange: System State Transition WARNING -> ERROR
(9192059) blePeriphNotifySubscription: ENTER NOTIFY
(9192062) systemRequestStateChange: Notify exit state change
***PCR ON***
[99]PCR TEC set to 50°C
(9203218) _setPcrTecTempC: TEC Set Temp 50.000000
(9203219) _resetThermalControlState: RESET Peltier 1 control state
(9203223) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9203230) _setThermalControlState: thermalControl-1: changing state 3->1
(9203237) tecCurvePredictorSetHoldPower: holdPower is NaN
(9203243) thermalControlSetEnable: Enabling Peltier 1
(9221992) TC: TC-1 = 97.92, modeled = 87.59, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 18650, exptTempC = 50.00, TecRate = 1.200
(9222142) TC: TC-1 = 97.98, modeled = 87.77, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 18800, exptTempC = 50.00, TecRate = 1.186
(9222293) TC: TC-1 = 98.04, modeled = 87.94, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 18950, exptTempC = 50.00, TecRate = 1.169
(9222443) TC: TC-1 = 98.08, modeled = 88.12, target = 50.00, heatSink = -86.62, output = -100.0, timeout = 19100, exptTempC = 50.00, TecRate = 1.129
(9222594) TC: TC-1 = 98.15, modeled = 88.29, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 19250, exptTempC = 50.00, TecRate = 1.131
(9222742) TC: TC-1 = 98.20, modeled = 88.45, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 19400, exptTempC = 50.00, TecRate = 1.104
(9222893) TC: TC-1 = 98.26, modeled = 88.62, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 19550, exptTempC = 50.00, TecRate = 1.106
(9223043) TC: TC-1 = 98.32, modeled = 88.78, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 19700, exptTempC = 50.00, TecRate = 1.086
(9223199) TC: TC-1 = 98.38, modeled = 88.94, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 19850, exptTempC = 50.00, TecRate = 1.077
(9223351) TC: TC-1 = 98.42, modeled = 89.10, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 20000, exptTempC = 50.00, TecRate = 1.051
(9223495) TC: TC-1 = 98.49, modeled = 89.26, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 20150, exptTempC = 50.00, TecRate = 1.052
(9223645) TC: TC-1 = 98.54, modeled = 89.41, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 20300, exptTempC = 50.00, TecRate = 1.031
