time,xx,T,415,445,480,515,555,590,630,680,NIR,CLR,Dark
[66995,0,54.99,333,5501,2893,1893,848,420,334,236,113,4832,1]
[67245,0,55,333,5508,2893,1892,848,420,334,236,113,4833,1]
[67495,0,54.99,332,5499,2892,1892,848,420,334,236,113,4831,1]
[67745,0,54.99,332,5506,2892,1892,847,420,333,236,113,4833,1]
[67995,0,55,332,5501,2891,1891,847,420,333,236,113,4831,1]
[68245,0,54.99,333,5502,2890,1890,847,420,333,236,113,4831,1]
[68495,0,54.98,333,5501,2889,1890,847,420,333,236,113,4828,1]
[68745,0,54.98,333,5499,2889,1890,847,420,333,236,113,4826,1]
[68997,0,54.98,333,5499,2888,1889,847,419,333,236,113,4826,1]
[69247,0,54.98,333,5487,2887,1888,846,419,333,236,113,4823,1]
[69495,0,54.98,333,5489,2885,1888,846,419,333,236,113,4827,1]
[69744,0,54.98,333,5491,2885,1887,846,419,333,236,113,4827,1]
[69995,0,54.98,332,5490,2885,1887,846,419,333,236,113,4829,1]
[70244,0,54.97,333,5488,2884,1887,846,419,333,236,113,4825,1]
[70495,0,54.97,332,5499,2884,1887,846,419,333,236,113,4826,1]
[70746,0,54.98,332,5495,2883,1886,845,419,333,236,113,4823,1]
[70995,0,54.98,332,5492,2882,1885,845,419,333,236,113,4824,1]
[71245,0,54.98,333,5491,2881,1885,845,419,333,236,113,4819,1]
[71495,0,54.98,332,5493,2881,1885,845,419,333,236,113,4822,1]
[71745,0,54.98,332,5495,2880,1885,845,419,332,236,113,4823,1]
[71995,0,54.97,332,5492,2880,1884,845,419,332,236,113,4823,1]
[72245,0,54.97,332,5493,2879,1884,845,419,332,236,113,4819,1]
[72495,0,54.97,332,5496,2879,1883,844,419,333,236,113,4821,1]
[72745,0,54.96,332,5491,2879,1883,844,419,332,236,113,4818,1]
[72995,0,54.94,332,5494,2878,1883,844,419,333,236,113,4820,1]
[73245,0,54.93,332,5499,2878,1883,844,418,333,236,113,4822,1]
[73495,0,54.92,332,5494,2877,1882,844,418,333,236,113,4817,1]
[73745,0,54.91,332,5489,2876,1882,844,418,333,236,113,4823,1]
[73995,0,54.89,332,5483,2876,1881,844,418,332,236,112,4822,1]
[74245,0,54.91,332,5492,2875,1881,843,419,332,236,113,4820,1]
[74495,0,54.94,332,5501,2874,1881,843,418,332,235,112,4819,1]
[74747,0,55,332,5501,2873,1879,843,418,332,235,112,4817,1]
[74997,0,55.06,332,5500,2870,1878,842,418,332,235,112,4813,1]
[75245,0,55.11,332,5497,2868,1877,842,417,332,235,112,4805,1]
[75495,0,55.13,332,5495,2867,1876,841,417,332,235,112,4804,1]
[75745,0,55.13,332,5491,2865,1875,841,417,332,235,112,4806,1]
[75995,0,55.11,332,5497,2863,1874,841,417,332,235,112,4806,1]
[76245,0,55.09,332,5490,2863,1874,841,417,332,235,112,4807,1]
[76495,0,55.08,332,5487,2862,1873,840,417,332,235,112,4802,1]
[76745,0,55.07,332,5494,2860,1872,840,417,332,235,112,4803,1]
[76997,0,55.07,333,5494,2860,1871,840,416,331,235,112,4803,1]
[77247,0,55.07,333,5487,2858,1870,839,416,331,235,112,4798,1]
[77497,0,55.07,333,5486,2856,1870,839,416,331,234,112,4799,1]
[77747,0,55.06,332,5485,2855,1869,839,416,331,234,112,4796,1]
[77992,0,55.04,332,5482,2854,1868,839,416,331,234,112,4792,1]
[78245,0,55.01,332,5487,2855,1868,839,416,331,234,112,4794,1]
[78494,0,54.99,332,5494,2854,1868,839,416,331,234,112,4794,1]
[78745,0,54.98,332,5492,2854,1868,838,416,331,234,111,4793,1]
[78995,0,54.97,332,5497,2854,1868,838,416,331,234,112,4793,1]
[79256,0,54.97,332,5494,2854,1867,838,416,332,234,112,4793,1]
[79495,0,54.97,332,5482,2849,1865,837,416,331,234,112,4789,1]
[79745,0,54.97,332,5483,2850,1866,837,416,331,234,111,4785,1]
[79995,0,54.96,332,5487,2851,1866,837,416,331,234,112,4787,1]
[80247,0,54.93,332,5487,2851,1866,838,416,331,234,112,4787,1]
[80497,0,54.92,332,5488,2850,1865,837,416,331,234,111,4787,1]
[80747,0,54.9,331,5486,2849,1865,837,416,331,234,112,4788,1]
[80995,0,54.9,332,5485,2849,1865,837,416,331,234,112,4790,1]
