timeSinceBoot,,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
8588.237,6.905,87.11,87.11,90,90,,,,,,,,,,,,,,
8588.237,6.905,87.11,87.11,90,90,,,,,,,,,,,,,,
8588.237,6.905,87.11,87.11,90,90,,,,,,,,,,,,,,
8588.237,6.905,87.11,87.11,90,90,,,,,,,,,,,,,,
8588.387,7.055,87.99,87.99,90,90,,,,,,,,,,,,,,
8588.387,7.055,87.99,87.99,90,90,,,,,,,,,,,,,,
8588.387,7.055,87.99,87.99,90,90,,,,,,,,,,,,,,
8588.387,7.055,87.99,87.99,90,90,,,,,,,,,,,,,,
8588.387,7.055,87.99,87.99,90,90,,,,,,,,,,,,,,
8588.539,7.207,88.85,88.85,90,90,,,,,,,,,,,,,,
8588.539,7.207,88.85,88.85,90,90,,,,,,,,,,,,,,
8588.539,7.207,88.85,88.85,90,90,,,,,,,,,,,,,,
8588.539,7.207,88.85,88.85,90,90,,,,,,,,,,,,,,
8588.539,7.207,88.85,88.85,90,90,,,,,,,,,,,,,,
8588.688,7.356,89.65,89.65,90,90,,,,,,,,,,,,,,
8588.688,7.356,89.65,89.65,90,90,,,,,,,,,,,,,,
8588.688,7.356,89.65,89.65,90,90,,,,,,,,,,,,,,
8588.688,7.356,89.65,89.65,90,90,,,,,,,,,,,,,,
8588.688,7.356,89.65,89.65,90,90,,,,,,,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.837,7.505,90.23,90.23,90,90,,,,,32.44,58.82,,,,,,,,
8588.988,7.656,90.27,90.27,90,90,,,,,,,,,,,,,,
8588.988,7.656,90.27,90.27,90,90,,,,,,,,,,,,,,
8588.988,7.656,90.27,90.27,90,90,,,,,,,,,,,,,,
8588.988,7.656,90.27,90.27,90,90,,,,,,,,,,,,,,
8588.988,7.656,90.27,90.27,90,90,,,,,,,,,,,,,,
8589.137,7.805,90.04,90.04,90,90,,,,,,,,,,,,,,
8589.137,7.805,90.04,90.04,90,90,,,,,,,,,,,,,,
8589.137,7.805,90.04,90.04,90,90,,,,,,,,,,,,,,
8589.137,7.805,90.04,90.04,90,90,,,,,,,,,,,,,,
8589.137,7.805,90.04,90.04,90,90,,,,,,,,,,,,,,
8589.287,7.955,89.83,89.83,90,90,,,,,,,,,,,,,,
8589.287,7.955,89.83,89.83,90,90,,,,,,,,,,,,,,
8589.287,7.955,89.83,89.83,90,90,,,,,,,,,,,,,,
8589.287,7.955,89.83,89.83,90,90,,,,,,,,,,,,,,
8589.287,7.955,89.83,89.83,90,90,,,,,,,,,,,,,,
8589.437,8.105,89.64,89.64,90,90,,,,,,,,,,,,,,
8589.437,8.105,89.64,89.64,90,90,,,,,,,,,,,,,,
8589.437,8.105,89.64,89.64,90,90,,,,,,,,,,,,,,
8589.437,8.105,89.64,89.64,90,90,,,,,,,,,,,,,,
8589.437,8.105,89.64,89.64,90,90,,,,,,,,,,,,,,
8589.588,8.256,89.48,89.48,90,90,,,,,,,,,,,,,,
8589.588,8.256,89.48,89.48,90,90,,,,,,,,,,,,,,
8589.588,8.256,89.48,89.48,90,90,,,,,,,,,,,,,,
8589.588,8.256,89.48,89.48,90,90,,,,,,,,,,,,,,
8589.588,8.256,89.48,89.48,90,90,,,,,,,,,,,,,,
8589.737,8.405,89.34,89.34,90,90,,,,,,,,,,,,,,
8589.737,8.405,89.34,89.34,90,90,,,,,,,,,,,,,,
8589.737,8.405,89.34,89.34,90,90,,,,,,,,,,,,,,
8589.737,8.405,89.34,89.34,90,90,,,,,,,,,,,,,,
8589.737,8.405,89.34,89.34,90,90,,,,,,,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8589.887,8.555,89.19,89.19,90,90,,,,,33.24,59.78,,,,,,,,
8590.037,8.705,89.1,89.1,90,90,,,,,,,,,,,,,,
8590.037,8.705,89.1,89.1,90,90,,,,,,,,,,,,,,
8590.037,8.705,89.1,89.1,90,90,,,,,,,,,,,,,,
8590.037,8.705,89.1,89.1,90,90,,,,,,,,,,,,,,
8590.037,8.705,89.1,89.1,90,90,,,,,,,,,,,,,,
8590.188,8.856,88.98,88.98,90,90,,,,,,,,,,,,,,
8590.188,8.856,88.98,88.98,90,90,,,,,,,,,,,,,,
