***Stage1 ON***
(344285) heapMonitor_checkFreeHeapSize: New heap low water mark 114196
[26]TC TEC set to 50°C
(344302) _setStage1TecTempC: TEC Set Temp 50.000000
(344303) _resetThermalControlState: RESET Peltier 0 control state
(344307) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(344314) _setThermalControlState: thermalControl-0: changing state 3->1
(344321) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(344328) thermalControlSetEnable: Enabling Peltier 0
(360384) TC: TC-0 = 98.59, modeled = 53.75, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 850, exptTempC = 50.00, TecRate = 0.861
(360538) TC: TC-0 = 98.70, modeled = 53.88, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 1000, exptTempC = 50.00, TecRate = 0.860
(360683) TC: TC-0 = 98.86, modeled = 54.01, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 1150, exptTempC = 50.00, TecRate = 0.861
(360834) TC: TC-0 = 98.99, modeled = 54.14, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 1300, exptTempC = 50.00, TecRate = 0.861
(360984) TC: TC-0 = 99.15, modeled = 54.27, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 1450, exptTempC = 50.00, TecRate = 0.862
(361133) TC: TC-0 = 99.29, modeled = 54.40, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 1600, exptTempC = 50.00, TecRate = 0.862
(361287) TC: TC-0 = 99.42, modeled = 54.53, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 1750, exptTempC = 50.00, TecRate = 0.862
(361442) TC: TC-0 = 99.50, modeled = 54.65, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 1900, exptTempC = 50.00, TecRate = 0.861
(361587) TC: TC-0 = 99.64, modeled = 54.78, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 2050, exptTempC = 50.00, TecRate = 0.861
(361737) TC: TC-0 = 99.75, modeled = 54.91, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 2200, exptTempC = 50.00, TecRate = 0.861
(361887) TC: TC-0 = 99.86, modeled = 55.04, target = 50.00, heatSink = -86.24, output = -100.0, timeout = 2350, exptTempC = 50.00, TecRate = 0.860
(362039) TC: TC-0 = 99.96, modeled = 55.17, target = 50.00, heatSink = -86.13, output = -100.0, timeout = 2500, exptTempC = 50.00, TecRate = 0.860
(362195) TC: TC-0 = 100.06, modeled = 55.30, target = 50.00, heatSink = -86.17, output = -100.0, timeout = 2650, exptTempC = 50.00, TecRate = 0.859
(362349) TC: TC-0 = 100.15, modeled = 55.43, target = 50.00, heatSink = -86.17, output = -100.0, timeout = 2800, exptTempC = 50.00, TecRate = 0.858
(362501) TC: TC-0 = 100.22, modeled = 55.56, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 2950, exptTempC = 50.00, TecRate = 0.856
(362646) TC: TC-0 = 100.31, modeled = 55.69, target = 50.00, heatSink = -85.93, output = -100.0, timeout = 3100, exptTempC = 50.00, TecRate = 0.856
(362797) TC: TC-0 = 100.38, modeled = 55.81, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 3250, exptTempC = 50.00, TecRate = 0.854
(362946) TC: TC-0 = 100.48, modeled = 55.94, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 3400, exptTempC = 50.00, TecRate = 0.853
(363097) TC: TC-0 = 100.57, modeled = 56.07, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 3550, exptTempC = 50.00, TecRate = 0.853
(363251) TC: TC-0 = 100.65, modeled = 56.20, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 3700, exptTempC = 50.00, TecRate = 0.852
(363399) TC: TC-0 = 100.70, modeled = 56.32, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 3850, exptTempC = 50.00, TecRate = 0.850
(363550) TC: TC-0 = 100.79, modeled = 56.45, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 4000, exptTempC = 50.00, TecRate = 0.849
(363700) TC: TC-0 = 100.87, modeled = 56.58, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 4150, exptTempC = 50.00, TecRate = 0.848
(363850) TC: TC-0 = 100.93, modeled = 56.71, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 4300, exptTempC = 50.00, TecRate = 0.846
(364000) TC: TC-0 = 101.02, modeled = 56.83, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 4450, exptTempC = 50.00, TecRate = 0.845
(364156) TC: TC-0 = 101.07, modeled = 56.96, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 4600, exptTempC = 50.00, TecRate = 0.843
(364301) TC: TC-0 = 101.13, modeled = 57.09, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 4750, exptTempC = 50.00, TecRate = 0.842
(364451) TC: TC-0 = 101.21, modeled = 57.21, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 4900, exptTempC = 50.00, TecRate = 0.841
(364601) TC: TC-0 = 101.26, modeled = 57.34, target = 50.00, heatSink = -86.13, output = -100.0, timeout = 5050, exptTempC = 50.00, TecRate = 0.839
(364751) TC: TC-0 = 101.33, modeled = 57.46, target = 50.00, heatSink = -86.51, output = -100.0, timeout = 5200, exptTempC = 50.00, TecRate = 0.838
(364901) TC: TC-0 = 101.39, modeled = 57.59, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 5350, exptTempC = 50.00, TecRate = 0.836
(365057) TC: TC-0 = 101.44, modeled = 57.71, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 5500, exptTempC = 50.00, TecRate = 0.834
(365202) TC: TC-0 = 101.51, modeled = 57.84, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 5650, exptTempC = 50.00, TecRate = 0.833
