LED wave,440 trans,LED filt,sens filt,sytox wave,excite,emit
533.805,0.045590852,-0.86,93.99,719,0,0
534.173,0.041404431,-0.85,94.08,720,0,0
534.541,0.041912609,-0.85,94.12,721,0,0
534.909,0.047212182,-0.85,94.04,722,0,0
535.277,0.047284779,-0.85,93.99,723,0,0
535.645,0.048397932,-0.85,93.95,724,0,0
536.012,0.044042118,-0.84,93.84,725,0,0
536.38,0.051156614,-0.85,93.59,726,0,0
536.748,0.054641265,-0.86,93.21,727,0,0
537.116,0.054859056,-0.85,92.87,728,0,0
537.483,0.054326678,-0.84,92.69,729,0,0
537.851,0.053673306,-0.84,92.51,730,0,0
538.218,0.049535283,-0.83,92.38,731,0,0
538.586,0.054568668,-0.82,92.47,732,0,0
538.953,0.052850541,-0.82,92.66,733,0,0
539.32,0.05125341,-0.81,92.79,734,0,0
539.688,0.053891097,-0.81,93.14,735,0,0
540.055,0.045542454,-0.81,93.35,736,0,0
540.422,0.046655606,-0.81,93.37,737,0,0
540.789,0.047381575,-0.83,93.37,738,0,0
541.156,0.04609903,-0.84,93.33,739,0,0
541.523,0.04493748,-0.84,93.25,740,0,0
541.89,0.048688319,-0.83,93.33,741,0,0
542.257,0.048567324,-0.83,93.32,742,0,0
542.624,0.055294637,-0.83,93.44,743,0,0
542.991,0.058367906,-0.81,93.77,744,0,0
543.358,0.060182828,-0.81,94.09,745,0,0
543.725,0.061029792,-0.8,94.34,746,0,0
544.091,0.06013443,-0.79,94.68,747,0,0
544.458,0.050019262,-0.77,95.01,748,0,0
544.825,0.051059818,-0.77,95.16,749,0,0
545.191,0.046244224,-0.78,95.16,750,0,0
545.558,0.042928965,-0.77,95.09,751,0,0
545.924,0.039008733,-0.76,95.16,752,0,0
546.291,0.034217338,-0.76,95.19,753,0,0
546.657,0.031071472,-0.76,95.06,754,0,0
547.023,0.037218009,-0.78,94.86,755,0,0
547.39,0.031410258,-0.77,94.72,756,0,0
547.756,0.033007389,-0.75,94.72,757,0,0
548.122,0.035136898,-0.76,94.79,758,0,0
548.488,0.035983862,-0.74,94.62,759,0,0
548.854,0.040533268,-0.72,94.53,760,0,0
549.22,0.044477699,-0.73,94.52,761,0,0
549.586,0.049898268,-0.71,94.47,762,0,0
549.952,0.050600038,-0.7,94.48,763,0,0
550.318,0.048639921,-0.71,94.47,764,0,0
550.684,0.041138242,-0.71,94.47,765,0,0
551.05,0.036056459,-0.72,94.62,766,0,0
551.415,0.031991033,-0.71,94.72,767,0,0
551.781,0.024368359,-0.7,94.69,768,0,0
552.147,0.017060271,-0.7,94.59,769,0,0
552.512,0.014132196,-0.7,94.35,770,0,0
552.878,0.017060271,-0.7,94.14,771,0,0
553.243,0.022311446,-0.7,94.11,772,0,0
553.609,0.033321976,-0.69,94.06,773,0,0
553.974,0.035766072,-0.7,93.87,774,0,0
554.339,0.040654263,-0.68,93.61,775,0,0
554.705,0.046824999,-0.68,93.54,776,0,0
555.07,0.048736717,-0.67,93.61,777,0,0
555.435,0.050430645,-0.66,93.58,778,0,0
555.8,0.046945994,-0.65,93.39,779,0,0
556.165,0.03954111,-0.64,93.15,780,0,0
556.53,0.034289935,-0.62,93.08,781,0,0
556.895,0.033152583,-0.62,93.11,782,0,0
557.26,0.027465826,-0.61,93.19,783,0,0
557.625,0.026376873,-0.61,93.22,784,0,0
557.99,0.022214651,-0.59,93.35,785,0,0
558.354,0.025215322,-0.55,93.55,786,0,0
558.719,0.025675103,-0.51,93.65,787,0,0
559.084,0.031749043,-0.38,93.79,788,0,0
559.448,0.036419444,-0.03,93.96,789,0,0
559.813,0.035911265,0.92,93.92,790,0,0
560.178,0.035427286,2.95,94.01,791,0,0
560.542,0.031555451,5.96,94.16,792,0,0
560.906,0.028675775,9.11,94.36,793,0,0
561.271,0.030490697,11.43,94.54,794,0,0
561.635,0.026546266,12.59,94.63,795,0,0
561.999,0.02504593,12.86,94.68,796,0,0
562.364,0.018270219,12.32,94.75,797,0,0
562.728,0.020448126,10.63,94.77,798,0,0
