,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
304,8109.129,,,,56.82,
305,7970.521,68.05,70.02,70.0,,36.81
306,7970.671,68.1,70.01,70.0,,36.79
307,7970.821,68.16,70.01,70.0,,36.77
308,7970.971,68.23,70.01,70.0,,36.75
309,7971.121,68.27,70.0,70.0,,36.73
310,7971.271,68.33,70.0,70.0,,36.71
311,7971.421,68.39,70.0,70.0,56.92,36.69
312,7971.571,68.43,69.99,70.0,,36.67
313,7971.721,68.48,69.99,70.0,,36.66
314,7971.871,68.52,69.99,70.0,,36.64
315,8115.761,,,,57.06,
316,7972.021,68.55,69.98,70.0,55.49,36.63
317,7972.171,68.59,69.97,70.0,,36.62
318,7972.317,68.64,69.97,60.0,,36.61
319,7972.467,68.67,69.97,60.0,,36.59
320,7972.617,68.69,69.96,60.0,51.94,36.58
321,7972.767,68.48,69.91,60.0,,36.59
322,7972.917,68.02,69.78,60.0,,36.63
323,7973.067,67.37,69.56,60.0,,36.71
324,7973.217,66.31,69.21,60.0,47.85,36.86
325,7973.367,65.43,68.79,60.0,,36.98
326,7973.517,64.47,68.33,60.0,,37.12
327,7973.667,63.17,67.77,60.0,,37.31
328,8123.506,,,,44.58,
329,7973.817,62.19,67.21,60.0,41.13,37.45
330,7973.967,61.21,66.65,60.0,,37.61
331,7974.117,59.89,66.02,60.0,,37.83
332,7974.267,58.9,65.4,60.0,,37.99
333,7974.417,57.92,64.8,60.0,40.47,38.15
334,7974.567,56.64,64.15,60.0,,38.37
335,8127.782,,,,42.44,
336,8128.305,,,,43.65,
337,7974.717,55.68,63.52,60.0,,38.51
338,7974.877,54.76,62.92,60.0,,38.68
339,7975.027,53.55,62.27,60.0,43.98,38.92
340,7975.177,52.72,61.66,60.0,,39.06
341,8131.366,,,,44.35,
342,7975.327,52.09,61.12,60.0,,39.17
343,7975.477,51.55,60.63,60.0,,39.28
344,7975.629,51.29,60.24,60.0,44.76,39.34
345,7975.779,51.12,59.92,60.0,,39.38
346,7975.927,51.01,59.66,60.0,,39.4
347,7976.071,50.97,59.45,60.0,,39.41
348,7976.221,50.95,59.27,60.0,45.08,39.41
349,7976.371,51.03,59.13,60.0,,39.39
350,7976.521,51.21,59.04,60.0,,39.37
351,7976.671,51.51,59.0,60.0,,39.35
352,8138.012,,,,45.5,
353,7976.821,51.99,59.02,60.0,45.79,39.29
354,8139.117,,,,46.06,
355,7976.971,52.41,59.08,60.0,,39.25
356,7977.121,52.84,59.17,60.0,,39.21
357,7977.271,53.41,59.29,60.0,,39.15
358,7977.421,53.83,59.42,60.0,,39.11
359,7977.571,54.23,59.55,60.0,,39.07
360,7977.722,54.72,59.68,60.0,,39.02
361,7977.872,55.06,59.81,60.0,,38.98
362,7978.022,55.35,59.91,60.0,46.41,38.93
363,7978.172,55.7,60.01,60.0,,38.86
364,7978.322,55.93,60.1,60.0,,38.82
365,8145.758,,,,46.66,
366,7978.472,56.1,60.16,60.0,,38.78
367,7978.622,56.4,60.22,60.0,46.86,38.73
368,7978.772,56.55,60.27,60.0,,38.7
369,7978.921,56.67,60.3,60.0,,38.66
370,7979.073,56.83,60.33,60.0,,38.61
371,7979.223,56.94,60.34,60.0,47.07,38.57
372,7979.373,57.03,60.35,60.0,,38.54
373,8150.586,,,,47.23,
374,7979.524,57.15,60.36,60.0,,38.51
375,7979.674,57.22,60.36,60.0,,38.49
376,7979.824,57.29,60.35,60.0,47.43,38.47
377,8153.0,,,,47.62,
378,7979.974,57.37,60.34,60.0,,38.44
379,7980.124,57.44,60.34,60.0,,38.42
380,7980.274,57.5,60.32,60.0,,38.4
381,7980.424,57.58,60.32,60.0,48.06,38.37
382,7980.573,57.63,60.31,60.0,,38.34
383,7980.724,57.68,60.29,60.0,,38.32
384,7980.874,57.76,60.28,60.0,,38.29
385,7981.024,57.81,60.27,60.0,48.48,38.27
386,7981.174,57.87,60.26,60.0,,38.25
387,7981.324,57.93,60.25,60.0,,38.22
388,7981.473,57.96,60.24,60.0,,38.2
389,7981.624,58.0,60.22,60.0,48.81,38.18
390,7981.774,58.05,60.21,60.0,,38.17
391,7981.925,58.12,60.2,60.0,,38.14
392,7982.075,58.16,60.19,60.0,,38.12
393,7982.225,58.22,60.19,60.0,49.29,38.09
394,7982.375,58.27,60.18,60.0,,38.07
395,8163.865,,,,49.63,
396,7982.525,58.31,60.17,60.0,,38.04
397,7982.675,58.36,60.16,60.0,,38.01
398,7982.825,58.4,60.16,60.0,50.06,38.0
399,8166.192,,,,50.49,
400,7982.975,58.44,60.15,60.0,,37.99
401,7983.125,58.47,60.14,60.0,,37.97
402,7983.275,58.53,60.13,60.0,,37.94
403,7983.424,58.57,60.13,60.0,50.81,37.93
404,7983.574,58.6,60.12,60.0,,37.91
405,7983.726,58.64,60.12,60.0,,37.89
406,7983.876,58.68,60.11,60.0,,37.88
407,7984.022,58.71,60.1,50.0,,37.86
408,7984.173,58.75,60.1,50.0,,37.84
409,7984.323,58.76,60.09,50.0,,37.83
410,7984.473,58.54,60.04,50.0,,37.83
411,7984.623,58.12,59.92,50.0,51.08,37.87
412,7984.773,57.54,59.71,50.0,,37.93
413,7984.923,56.58,59.4,50.0,,38.06
414,7985.072,55.78,59.01,50.0,,38.18
415,7985.223,54.95,58.6,50.0,51.45,38.3
416,7985.373,53.8,58.12,50.0,,38.47
417,7985.523,52.93,57.61,50.0,,38.61
418,7985.673,52.06,57.1,50.0,,38.77
419,7985.823,50.9,56.56,50.0,51.69,38.98
420,7985.974,50.04,56.01,50.0,,39.12
421,8179.454,,,,52.05,
422,7986.124,49.18,55.47,50.0,,39.26
423,8180.554,,,,52.39,
424,7986.274,48.06,54.91,50.0,,39.46
425,7986.425,47.23,54.35,50.0,52.6,39.61
426,7986.574,46.42,53.81,50.0,,39.76
427,7986.725,45.36,53.26,50.0,,39.96
428,7986.874,44.57,52.71,50.0,,40.1
429,7987.036,43.8,52.17,50.0,52.89,40.25
430,7987.185,42.82,51.63,50.0,,40.44
431,7987.336,42.18,51.11,50.0,,40.58
432,8186.011,,,,53.14,
433,7987.487,41.77,50.66,50.0,,40.68
434,7987.638,41.62,50.31,50.0,53.46,40.77
435,7987.788,41.74,50.07,50.0,,40.8
436,7987.933,41.99,49.94,50.0,,40.8
437,7988.085,42.45,49.9,50.0,,40.78
438,7988.228,42.85,49.92,50.0,53.67,40.75
439,7988.378,43.23,49.98,50.0,,40.72
440,7988.528,43.68,50.05,50.0,,40.67
441,7988.679,43.96,50.13,50.0,,40.64
442,7988.829,44.19,50.18,50.0,53.9,40.6
443,8192.644,,,,54.12,
444,7988.979,44.43,50.22,50.0,,40.56
445,7989.13,44.59,50.25,50.0,,40.52
446,7989.28,44.73,50.26,50.0,,40.48
447,7989.43,44.89,50.26,50.0,54.38,40.43
448,7989.58,45.0,50.25,50.0,,40.4
449,7989.729,45.1,50.24,50.0,,40.37
450,7989.88,45.23,50.22,50.0,,40.33
451,7990.03,45.32,50.2,50.0,54.66,40.29
452,7990.179,45.41,50.18,50.0,,40.25
453,7990.33,45.53,50.16,50.0,,40.21
454,7990.481,45.63,50.15,50.0,,40.18
455,7990.63,45.71,50.13,50.0,54.88,40.14
456,7990.78,45.81,50.11,50.0,,40.11
457,7990.93,45.93,50.09,50.0,,40.07
458,8201.638,,,,55.05,
459,7991.081,46.02,50.08,50.0,,40.04
460,7991.231,46.11,50.07,50.0,55.27,40.01
461,7991.382,46.23,50.06,50.0,,39.96
462,7991.532,46.31,50.05,50.0,,39.92
463,7991.682,46.39,50.03,50.0,,39.89
464,7991.832,46.5,50.03,50.0,,39.86
465,7991.982,46.57,50.02,50.0,,39.84
466,7992.132,46.67,50.01,50.0,,39.8
467,8207.167,,,,55.53,
468,7992.282,46.79,50.01,50.0,,39.76
469,7992.431,46.88,50.0,50.0,55.74,39.73
470,7992.582,46.97,50.0,50.0,,39.7
471,7992.732,47.07,50.01,50.0,,39.66
472,7992.882,47.13,50.0,50.0,,39.63
473,7993.033,47.2,49.99,50.0,56.03,39.61
474,7993.182,47.3,49.99,50.0,,39.58
475,7993.332,47.37,49.99,50.0,,39.55
476,7993.482,47.44,49.99,50.0,,39.51
477,7993.632,47.53,49.99,50.0,56.19,39.48
478,7993.783,47.6,49.99,50.0,,39.45
479,7993.933,47.66,49.98,50.0,,39.43
480,7994.082,47.74,49.98,50.0,,39.4
481,7994.233,47.81,49.98,50.0,56.39,39.38
482,7994.383,47.86,49.98,50.0,,39.36
483,7994.533,47.95,49.98,50.0,,39.32
484,7994.682,48.01,49.98,50.0,,39.3
485,7994.833,48.06,49.98,50.0,56.59,39.28
486,7994.984,48.13,49.98,50.0,,39.25
487,7995.134,48.18,49.98,50.0,,39.22
488,7995.284,48.23,49.98,50.0,,39.2
489,7995.434,48.3,49.98,50.0,56.79,39.17
490,7995.584,48.35,49.98,50.0,,39.15
491,8221.635,,,,57.05,
492,7995.735,48.39,49.98,50.0,,39.13
493,7995.885,48.45,49.98,50.0,,39.11
494,7996.035,48.5,49.98,50.0,57.21,39.1
495,7996.185,48.54,49.98,90.0,,39.08
496,7996.334,48.6,49.99,90.0,,39.06
497,7996.485,48.64,49.99,90.0,,39.05
498,7996.635,48.68,49.99,90.0,57.45,39.03
499,7996.785,48.74,49.99,90.0,,39.01
500,7996.935,48.78,49.99,90.0,,38.99
501,7997.084,48.84,50.0,90.0,,38.97
502,7997.234,48.93,50.01,90.0,57.67,38.95
503,7997.384,48.99,50.02,90.0,,38.92
504,8229.381,,,,57.81,
505,7997.535,49.06,50.04,90.0,,38.9
506,7997.685,49.16,50.06,90.0,,38.85
507,7997.834,49.25,50.08,90.0,58.03,38.83
508,7997.985,49.32,50.11,90.0,,38.81
509,7998.134,49.43,50.14,90.0,,38.78
510,7998.285,49.52,50.17,90.0,,38.76
511,7998.435,49.61,50.2,90.0,,38.73
512,7998.585,49.73,50.24,90.0,,38.7
513,7998.734,49.83,50.28,90.0,,38.67
514,8235.39,,,,58.28,
515,8236.052,,,,58.55,
516,7998.885,49.92,50.32,90.0,,38.65
517,7999.035,50.06,50.37,90.0,58.67,38.61
518,7999.184,50.17,50.41,90.0,,38.59
519,7999.336,50.3,50.46,90.0,,38.55
520,7999.488,50.41,50.51,90.0,,38.53
521,8239.641,,,,58.88,
522,7999.638,50.51,50.56,90.0,59.1,38.51
523,7999.788,50.64,50.61,90.0,,38.49
524,7999.938,50.74,50.67,90.0,,38.47
525,8000.089,50.83,50.72,90.0,,38.46
526,8000.239,50.96,50.77,90.0,59.32,38.44
527,8000.389,51.05,50.82,90.0,,38.42
528,8000.539,51.15,50.87,90.0,,38.4
529,8000.689,51.25,50.92,90.0,,38.38
530,8000.84,51.38,50.98,90.0,59.48,38.35
531,8000.991,51.47,51.03,90.0,,38.33
532,8001.142,51.59,51.09,90.0,,38.31
533,8001.292,51.66,51.14,90.0,,38.29
534,8001.441,51.76,51.19,90.0,59.69,38.26
535,8001.592,51.87,51.24,90.0,,38.24
536,8001.742,51.95,51.29,90.0,,38.22
537,8001.892,52.03,51.34,90.0,,38.21
