timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
2109.868,111.54,56.2,30,60,
2109.868,111.54,56.2,30,60,
2109.868,111.54,56.2,30,60,
2110.018,110.69,56.49,30,60,
2110.018,110.69,56.49,30,60,
2110.018,110.69,56.49,30,60,
2110.018,110.69,56.49,30,60,
2110.168,109.39,56.78,30,60,
2110.168,109.39,56.78,30,60,
2110.168,109.39,56.78,30,60,
2110.168,109.39,56.78,30,60,
2110.318,107.83,57.06,30,60,45.23
2110.318,107.83,57.06,30,60,45.23
2110.318,107.83,57.06,30,60,45.23
2110.318,107.83,57.06,30,60,45.23
2110.318,107.83,57.06,30,60,45.23
2110.468,106.18,57.33,30,60,
2110.468,106.18,57.33,30,60,
2110.468,106.18,57.33,30,60,
2110.468,106.18,57.33,30,60,
2110.618,104.46,57.58,30,60,
2110.618,104.46,57.58,30,60,
2110.618,104.46,57.58,30,60,
2110.618,104.46,57.58,30,60,
2110.768,102.74,57.83,30,60,
2110.768,102.74,57.83,30,60,
2110.768,102.74,57.83,30,60,
2110.768,102.74,57.83,30,60,
2110.918,101.02,58.06,30,60,
2110.918,101.02,58.06,30,60,
2110.918,101.02,58.06,30,60,
2110.918,101.02,58.06,30,60,
2111.069,99.21,58.28,30,60,
2111.069,99.21,58.28,30,60,
2111.069,99.21,58.28,30,60,
2111.069,99.21,58.28,30,60,
2111.218,97.6,58.5,30,60,46.84
2111.218,97.6,58.5,30,60,46.84
2111.218,97.6,58.5,30,60,46.84
2111.218,97.6,58.5,30,60,46.84
2111.218,97.6,58.5,30,60,46.84
2111.368,96.02,58.7,30,60,
2111.368,96.02,58.7,30,60,
2111.368,96.02,58.7,30,60,
2111.368,96.02,58.7,30,60,
2111.518,94.46,58.89,30,60,
2111.518,94.46,58.89,30,60,
2111.518,94.46,58.89,30,60,
2111.518,94.46,58.89,30,60,
2111.668,92.93,59.07,30,60,
2111.668,92.93,59.07,30,60,
2111.668,92.93,59.07,30,60,
2111.668,92.93,59.07,30,60,
2111.818,91.4,59.24,30,60,
2111.818,91.4,59.24,30,60,
2111.818,91.4,59.24,30,60,
2111.818,91.4,59.24,30,60,
2111.968,89.91,59.4,30,60,
2111.968,89.91,59.4,30,60,
2111.968,89.91,59.4,30,60,
2111.968,89.91,59.4,30,60,
2112.118,88.48,59.55,30,60,
2112.118,88.48,59.55,30,60,
2112.118,88.48,59.55,30,60,
2112.118,88.48,59.55,30,60,
2112.268,87.05,59.7,30,60,
2112.268,87.05,59.7,30,60,
2112.268,87.05,59.7,30,60,
2112.268,87.05,59.7,30,60,
2112.32,,,,,47.8
2112.418,85.68,59.83,30,60,
2112.418,85.68,59.83,30,60,
2112.418,85.68,59.83,30,60,
2112.418,85.68,59.83,30,60,
2112.568,84.34,59.96,30,60,
2112.568,84.34,59.96,30,60,
2112.568,84.34,59.96,30,60,
2112.568,84.34,59.96,30,60,
2112.718,83,60.07,30,60,
2112.718,83,60.07,30,60,
2112.718,83,60.07,30,60,
2112.718,83,60.07,30,60,
2112.868,81.58,60.18,30,60,
2112.868,81.58,60.18,30,60,
2112.868,81.58,60.18,30,60,
2112.868,81.58,60.18,30,60,
2113.018,80.32,60.28,30,60,
2113.018,80.32,60.28,30,60,
2113.018,80.32,60.28,30,60,
2113.018,80.32,60.28,30,60,
2113.173,79.08,60.37,60,60,
2113.173,79.08,60.37,60,60,
2113.173,79.08,60.37,60,60,
2113.173,79.08,60.37,60,60,
2113.317,77.83,60.46,60,60,48.27
2113.317,77.83,60.46,60,60,48.27
2113.317,77.83,60.46,60,60,48.27
2113.317,77.83,60.46,60,60,48.27
2113.317,77.83,60.46,60,60,48.27
2113.467,76.63,60.54,60,60,
2113.467,76.63,60.54,60,60,
2113.467,76.63,60.54,60,60,
2113.467,76.63,60.54,60,60,
2113.617,75.5,60.6,60,60,
2113.617,75.5,60.6,60,60,
2113.617,75.5,60.6,60,60,
2113.617,75.5,60.6,60,60,
2113.767,74.36,60.67,60,60,
2113.767,74.36,60.67,60,60,
2113.767,74.36,60.67,60,60,
2113.767,74.36,60.67,60,60,
2113.917,73.25,60.72,60,60,
2113.917,73.25,60.72,60,60,
2113.917,73.25,60.72,60,60,
2113.917,73.25,60.72,60,60,
2114.067,72.15,60.77,60,60,
2114.067,72.15,60.77,60,60,
2114.067,72.15,60.77,60,60,
2114.067,72.15,60.77,60,60,
2114.217,70.94,60.81,60,60,
2114.217,70.94,60.81,60,60,
