timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQLiquidStg1
88.704,91.96,91.91,90,0
88.719,0,0,0,0
88.804,91.96,91.91,90,0
88.819,0,0,0,0
88.904,91.84,91.91,90,0
88.919,0,0,0,0
89.004,91.84,91.9,90,0
89.019,0,0,0,0
89.104,91.72,91.88,90,0
89.119,0,0,0,0
89.204,91.84,91.86,90,0
89.219,0,0,0,0
89.304,91.84,91.85,90,0
89.319,0,0,0,0
89.404,91.72,91.84,90,46.15
89.419,0,0,0,0
89.504,91.84,91.83,90,0
89.519,0,0,0,0
89.604,91.84,91.82,90,0
89.619,0,0,0,0
89.704,91.72,91.82,90,0
89.719,0,0,0,0
89.804,91.72,91.81,90,0
89.819,0,0,0,0
89.904,91.72,91.8,90,0
89.919,0,0,0,0
90.004,91.72,91.79,90,0
90.019,0,0,0,0
90.104,91.72,91.77,90,0
90.119,0,0,0,0
90.204,91.72,91.75,90,0
90.219,0,0,0,0
90.304,91.72,91.74,90,0
90.319,0,0,0,0
90.404,91.72,91.73,90,46.53
90.419,0,0,0,0
90.504,91.72,91.72,90,0
90.519,0,0,0,0
90.604,91.59,91.72,90,0
90.619,0,0,0,0
90.704,91.72,91.7,90,0
90.719,0,0,0,0
90.804,91.59,91.69,90,0
90.819,0,0,0,0
90.904,91.72,91.68,90,0
90.919,0,0,0,0
91.004,91.72,91.68,90,0
91.019,0,0,0,0
91.104,91.59,91.68,90,0
91.119,0,0,0,0
91.204,91.59,91.67,90,0
91.219,0,0,0,0
91.304,91.59,91.67,90,0
91.319,0,0,0,0
91.404,91.59,91.66,90,47.47
91.419,0,0,0,0
91.504,91.59,91.65,90,0
91.519,0,0,0,0
91.604,91.59,91.63,90,0
91.619,0,0,0,0
91.704,91.59,91.61,90,0
91.719,0,0,0,0
91.804,91.59,91.6,90,0
91.819,0,0,0,0
91.904,91.47,91.58,90,0
91.919,0,0,0,0
92.004,91.47,91.56,90,0
92.019,0,0,0,0
92.104,91.47,91.54,90,0
92.119,0,0,0,0
92.204,91.47,91.53,90,0
92.22,0,0,0,0
92.304,91.47,91.51,90,47.21
92.32,0,0,0,0
92.405,91.47,91.5,90,0
92.42,0,0,0,0
92.504,91.47,91.48,90,0
92.519,0,0,0,0
92.604,91.47,91.47,90,0
92.619,0,0,0,0
92.704,91.35,91.46,90,0
92.719,0,0,0,0
92.804,91.47,91.44,90,0
92.819,0,0,0,0
92.904,91.47,91.43,90,0
92.919,0,0,0,0
93.004,91.35,91.43,90,0
93.019,0,0,0,0
93.104,91.35,91.42,90,0
93.119,0,0,0,0
93.204,91.35,91.41,90,0
93.219,0,0,0,0
93.304,91.35,91.4,90,0
93.319,0,0,0,0
93.404,91.47,91.39,90,0
93.419,0,0,0,0
93.504,91.35,91.39,90,47.69
93.519,0,0,0,0
93.604,91.35,91.38,90,0
93.619,0,0,0,0
93.704,91.35,91.38,90,0
93.719,0,0,0,0
93.804,91.23,91.37,90,0
93.819,0,0,0,0
93.904,91.23,91.35,90,0
93.919,0,0,0,0
94.004,91.23,91.33,90,0
94.019,0,0,0,0
94.104,91.35,91.31,90,0
94.119,0,0,0,0
94.204,91.23,91.29,90,0
94.219,0,0,0,0
94.304,91.35,91.28,90,0
94.319,0,0,0,0
94.404,91.23,91.28,90,0
94.419,0,0,0,0
94.504,91.23,91.27,90,48.33
94.519,0,0,0,0
94.604,91.23,91.26,90,0
94.619,0,0,0,0
94.704,91.23,91.25,90,0
94.719,0,0,0,0
94.804,91.11,91.24,90,0
94.819,0,0,0,0
94.904,91.11,91.23,90,0
94.919,0,0,0,0
95.004,91.11,91.22,90,0
95.019,0,0,0,0
95.104,91.11,91.21,90,0
95.119,0,0,0,0
95.204,91.23,91.19,90,0
95.219,0,0,0,0
95.304,91.23,91.18,90,0
