timeSinceBootSeconds,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQStg1Liquid,dataQStg1Slug
654.187,63.08,63.08,60.0,60.0,,,,,,
654.337,62.74,62.74,60.0,60.0,,,,,,
654.487,62.37,62.37,60.0,60.0,,,,,,
654.637,62.05,62.05,60.0,60.0,,,,,,
654.787,61.67,61.67,60.0,60.0,,,,,,
654.937,61.34,61.34,60.0,60.0,,,,,,
655.102,61.1,61.1,60.0,60.0,,,,,,
655.251,60.64,60.64,60.0,60.0,,,,,,
655.401,60.31,60.31,60.0,60.0,,,,,,
655.551,59.97,59.97,60.0,60.0,,,,,,
655.701,59.66,59.66,60.0,60.0,,,,,,
655.851,59.33,59.33,60.0,60.0,,,,,,
656.001,59.0,59.0,60.0,60.0,,,,,,
656.152,58.69,58.69,60.0,60.0,,,,,,
656.302,58.39,58.39,60.0,60.0,,,,,,
656.451,58.07,58.07,60.0,60.0,,,,,,
656.602,57.78,57.78,60.0,60.0,,,,,,
656.751,57.49,57.49,60.0,60.0,,,,,,
656.901,57.21,57.21,60.0,60.0,,,,,,
657.052,56.92,56.92,60.0,60.0,,,,,,
657.202,56.66,56.66,60.0,60.0,,,,,,
657.351,56.45,56.45,60.0,60.0,,,,,,
657.501,56.17,56.17,60.0,60.0,,,,,,
657.652,55.97,55.97,60.0,60.0,,,,,,
657.801,55.77,55.77,60.0,60.0,,,,,,
657.951,55.57,55.57,60.0,60.0,,,,,,
658.102,55.36,55.36,60.0,60.0,,,,,,
658.252,55.18,55.18,60.0,60.0,,,,,,
658.402,54.99,54.99,60.0,60.0,,,,,,
658.552,54.8,54.8,60.0,60.0,,,,,,
658.701,54.63,54.63,60.0,60.0,,,,,,
658.852,54.45,54.45,60.0,60.0,,,,,,
659.002,54.29,54.29,60.0,60.0,,,,,,
659.151,54.13,54.13,60.0,60.0,,,,,,
659.301,53.98,53.98,60.0,60.0,,,,,,
659.452,53.83,53.83,60.0,60.0,,,,,,
659.601,53.68,53.68,60.0,60.0,,,,,,
659.751,53.51,53.51,60.0,60.0,,,,,,
659.901,53.39,53.39,60.0,60.0,,,,,,
660.051,53.25,53.25,60.0,60.0,,,,,,
660.201,53.13,53.13,60.0,60.0,,,,,,
660.352,53.01,53.01,60.0,60.0,,,,,,
660.502,52.89,52.89,60.0,60.0,,,,,,
660.651,52.79,52.79,60.0,60.0,,,,,,
660.801,52.67,52.67,60.0,60.0,,,,,,
660.951,52.59,52.59,60.0,60.0,,,,,,
661.101,52.5,52.5,60.0,60.0,,,,,,
661.251,52.42,52.42,60.0,60.0,,,,,,
661.401,52.36,52.36,60.0,60.0,,,,,,
661.551,52.33,52.33,60.0,60.0,,,,,,
661.702,52.3,52.3,60.0,60.0,,,,,,
661.851,52.28,52.28,60.0,60.0,,,,,,
662.001,52.29,52.29,60.0,60.0,,,,,,
662.151,52.33,52.33,60.0,60.0,,,,,,
662.301,52.39,52.39,60.0,60.0,,,,,,
662.451,52.5,52.5,60.0,60.0,,,,,,
662.601,52.62,52.62,60.0,60.0,,,,,,
662.752,52.77,52.77,60.0,60.0,,,,,,
662.901,52.96,52.96,60.0,60.0,,,,,,
663.051,53.2,53.2,60.0,60.0,,,,,,
663.201,53.48,53.48,60.0,60.0,,,,,,
663.351,53.83,53.83,60.0,60.0,,,,,,
663.501,54.24,54.24,60.0,60.0,,,,,,
663.652,54.7,54.7,60.0,60.0,,,,,,
663.801,55.29,55.29,60.0,60.0,,,,,,
663.952,55.94,55.94,60.0,60.0,,,,,,
664.102,56.69,56.69,60.0,60.0,,,,,,
664.251,57.56,57.56,60.0,60.0,,,,,,
664.401,58.54,58.54,60.0,60.0,,,,,,
664.551,59.59,59.59,60.0,60.0,,,,,,
664.701,60.6,60.6,60.0,60.0,,,,,,
664.851,61.49,61.49,60.0,60.0,,,,,,
665.001,62.16,62.16,60.0,60.0,,,,,,
665.151,62.62,62.62,60.0,60.0,,,,,,
665.301,62.87,62.87,60.0,60.0,,,,,,
665.451,62.97,62.97,60.0,60.0,,,,,,
665.601,62.97,62.97,60.0,60.0,,,,,,
665.751,62.92,62.92,60.0,60.0,,,,,,
665.901,62.82,62.82,60.0,60.0,,,,,,
666.052,62.68,62.68,60.0,60.0,,,,,,
666.202,62.51,62.51,60.0,60.0,,,,,,
666.351,62.35,62.35,60.0,60.0,,,,,,
666.501,62.18,62.18,60.0,60.0,,,,,,
666.651,62.03,62.03,60.0,60.0,,,,,,
666.801,61.85,61.85,60.0,60.0,,,,,,
666.951,61.64,61.64,60.0,60.0,,,,,,
667.102,61.48,61.48,60.0,60.0,,,,,,
667.251,61.32,61.32,60.0,60.0,,,,,,
667.401,61.16,61.16,60.0,60.0,,,,,,
667.551,60.97,60.97,60.0,60.0,,,,,,
667.701,60.8,60.8,60.0,60.0,,,,,,
667.851,60.65,60.65,60.0,60.0,,,,,,
668.001,60.48,60.48,60.0,60.0,,,,,,
