timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
223.404,94.24,37.37,0,62,36.59,19.47,32.84
223.404,94.24,37.37,0,62,36.59,19.47,32.84
223.554,94.67,37.65,0,62,,19.49,
223.554,94.67,37.65,0,62,,19.49,
223.554,94.67,37.65,0,62,,19.49,
223.554,94.67,37.65,0,62,,19.49,
223.554,94.67,37.65,0,62,,19.49,
223.704,94.98,37.91,0,62,,19.48,
223.704,94.98,37.91,0,62,,19.48,
223.704,94.98,37.91,0,62,,19.48,
223.704,94.98,37.91,0,62,,19.48,
223.704,94.98,37.91,0,62,,19.48,
223.854,95.28,38.16,0,62,,19.49,
223.854,95.28,38.16,0,62,,19.49,
223.854,95.28,38.16,0,62,,19.49,
223.854,95.28,38.16,0,62,,19.49,
223.854,95.28,38.16,0,62,,19.49,
224.004,95.66,38.44,0,62,,19.5,
224.004,95.66,38.44,0,62,,19.5,
224.004,95.66,38.44,0,62,,19.5,
224.004,95.66,38.44,0,62,,19.5,
224.004,95.66,38.44,0,62,,19.5,
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.154,95.96,38.69,0,62,37.98,19.5,34.25
224.304,96.26,38.95,0,62,,19.5,
224.304,96.26,38.95,0,62,,19.5,
224.304,96.26,38.95,0,62,,19.5,
224.304,96.26,38.95,0,62,,19.5,
224.304,96.26,38.95,0,62,,19.5,
224.454,96.63,39.22,0,62,,19.52,
224.454,96.63,39.22,0,62,,19.52,
224.454,96.63,39.22,0,62,,19.52,
224.454,96.63,39.22,0,62,,19.52,
224.454,96.63,39.22,0,62,,19.52,
224.604,96.92,39.48,0,62,,19.52,
224.604,96.92,39.48,0,62,,19.52,
224.604,96.92,39.48,0,62,,19.52,
224.604,96.92,39.48,0,62,,19.52,
224.604,96.92,39.48,0,62,,19.52,
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.754,97.2,39.74,0,62,38.74,19.52,34.94
224.904,97.57,40.02,0,62,,19.53,
224.904,97.57,40.02,0,62,,19.53,
