(68167) heapMonitor_checkFreeHeapSize: New heap low water mark 115004
(164167) heapMonitor_checkFreeHeapSize: New heap low water mark 114908
[9]Set PCR TEC:  HEAT: True  POW: 100
(205870) RAW PELTIER: TC-1 = 62.8, HSTemp = 18.8, modeled = 44.1, rawRR C/s = 9.1, output = 100.0
(205921) RAW PELTIER: TC-1 = 63.3, HSTemp = 18.8, modeled = 44.5, rawRR C/s = 9.0, output = 100.0
(205970) RAW PELTIER: TC-1 = 63.7, HSTemp = 18.8, modeled = 44.8, rawRR C/s = 9.0, output = 100.0
(206021) RAW PELTIER: TC-1 = 64.2, HSTemp = 18.8, modeled = 45.2, rawRR C/s = 9.0, output = 100.0
(206071) RAW PELTIER: TC-1 = 64.7, HSTemp = 18.7, modeled = 45.5, rawRR C/s = 8.9, output = 100.0
(206122) RAW PELTIER: TC-1 = 65.2, HSTemp = 18.7, modeled = 45.9, rawRR C/s = 8.9, output = 100.0
(206170) RAW PELTIER: TC-1 = 65.6, HSTemp = 18.7, modeled = 46.2, rawRR C/s = 8.8, output = 100.0
(206221) RAW PELTIER: TC-1 = 66.1, HSTemp = 18.7, modeled = 46.5, rawRR C/s = 8.8, output = 100.0
(206270) RAW PELTIER: TC-1 = 66.6, HSTemp = 18.7, modeled = 46.9, rawRR C/s = 8.7, output = 100.0
(206321) RAW PELTIER: TC-1 = 67.0, HSTemp = 18.7, modeled = 47.2, rawRR C/s = 8.6, output = 100.0
(206372) RAW PELTIER: TC-1 = 67.5, HSTemp = 18.7, modeled = 47.6, rawRR C/s = 8.6, output = 100.0
(206425) RAW PELTIER: TC-1 = 67.9, HSTemp = 18.7, modeled = 47.9, rawRR C/s = 8.4, output = 100.0
(206476) RAW PELTIER: TC-1 = 68.4, HSTemp = 18.7, modeled = 48.3, rawRR C/s = 8.3, output = 100.0
(206528) RAW PELTIER: TC-1 = 68.8, HSTemp = 18.7, modeled = 48.6, rawRR C/s = 8.3, output = 100.0
(206580) RAW PELTIER: TC-1 = 69.2, HSTemp = 18.7, modeled = 49.0, rawRR C/s = 8.3, output = 100.0
(206624) RAW PELTIER: TC-1 = 69.2, HSTemp = 18.7, modeled = 49.3, rawRR C/s = 8.3, output = 100.0
(206675) RAW PELTIER: TC-1 = 69.7, HSTemp = 18.7, modeled = 49.6, rawRR C/s = 8.3, output = 100.0
(206724) RAW PELTIER: TC-1 = 70.1, HSTemp = 18.7, modeled = 49.9, rawRR C/s = 8.2, output = 100.0
(206775) RAW PELTIER: TC-1 = 70.5, HSTemp = 18.7, modeled = 50.3, rawRR C/s = 8.2, output = 100.0
(206824) RAW PELTIER: TC-1 = 71.0, HSTemp = 18.7, modeled = 50.6, rawRR C/s = 8.1, output = 100.0
(206875) RAW PELTIER: TC-1 = 71.4, HSTemp = 18.7, modeled = 50.9, rawRR C/s = 8.1, output = 100.0
(206924) RAW PELTIER: TC-1 = 71.8, HSTemp = 18.6, modeled = 51.2, rawRR C/s = 8.0, output = 100.0
(206975) RAW PELTIER: TC-1 = 72.3, HSTemp = 18.6, modeled = 51.6, rawRR C/s = 8.1, output = 100.0
(207024) RAW PELTIER: TC-1 = 72.7, HSTemp = 18.6, modeled = 51.9, rawRR C/s = 7.9, output = 100.0
(207075) RAW PELTIER: TC-1 = 73.1, HSTemp = 18.6, modeled = 52.2, rawRR C/s = 7.9, output = 100.0
(207124) RAW PELTIER: TC-1 = 73.5, HSTemp = 18.6, modeled = 52.6, rawRR C/s = 8.0, output = 100.0
(207175) RAW PELTIER: TC-1 = 74.0, HSTemp = 18.6, modeled = 52.9, rawRR C/s = 8.0, output = 100.0
(207224) RAW PELTIER: TC-1 = 74.4, HSTemp = 18.6, modeled = 53.2, rawRR C/s = 8.0, output = 100.0
(207275) RAW PELTIER: TC-1 = 74.8, HSTemp = 18.6, modeled = 53.6, rawRR C/s = 7.9, output = 100.0
(207325) RAW PELTIER: TC-1 = 75.2, HSTemp = 18.6, modeled = 53.9, rawRR C/s = 7.6, output = 100.0
(207378) RAW PELTIER: TC-1 = 75.6, HSTemp = 18.6, modeled = 54.2, rawRR C/s = 7.2, output = 100.0
(207430) RAW PELTIER: TC-1 = 76.0, HSTemp = 18.6, modeled = 54.5, rawRR C/s = 7.2, output = 100.0
(207477) RAW PELTIER: TC-1 = 76.0, HSTemp = 18.6, modeled = 54.8, rawRR C/s = 7.2, output = 100.0
(207527) RAW PELTIER: TC-1 = 76.3, HSTemp = 18.6, modeled = 55.1, rawRR C/s = 7.4, output = 100.0
(207577) RAW PELTIER: TC-1 = 76.7, HSTemp = 18.6, modeled = 55.5, rawRR C/s = 7.1, output = 100.0
(207628) RAW PELTIER: TC-1 = 77.1, HSTemp = 18.6, modeled = 55.8, rawRR C/s = 7.4, output = 100.0
(207677) RAW PELTIER: TC-1 = 77.5, HSTemp = 18.6, modeled = 56.1, rawRR C/s = 7.2, output = 100.0
(207728) RAW PELTIER: TC-1 = 77.9, HSTemp = 18.6, modeled = 56.4, rawRR C/s = 7.1, output = 100.0
(207777) RAW PELTIER: TC-1 = 78.3, HSTemp = 18.6, modeled = 56.7, rawRR C/s = 7.3, output = 100.0
(207828) RAW PELTIER: TC-1 = 78.7, HSTemp = 18.6, modeled = 57.0, rawRR C/s = 7.2, output = 100.0
(207877) RAW PELTIER: TC-1 = 79.0, HSTemp = 18.6, modeled = 57.3, rawRR C/s = 7.2, output = 100.0
(207928) RAW PELTIER: TC-1 = 79.4, HSTemp = 18.6, modeled = 57.6, rawRR C/s = 7.2, output = 100.0
(207977) RAW PELTIER: TC-1 = 79.8, HSTemp = 18.6, modeled = 57.9, rawRR C/s = 7.2, output = 100.0
(208027) RAW PELTIER: TC-1 = 80.2, HSTemp = 18.6, modeled = 58.3, rawRR C/s = 7.1, output = 100.0
(208079) RAW PELTIER: TC-1 = 80.6, HSTemp = 18.6, modeled = 58.6, rawRR C/s = 7.1, output = 100.0
(208128) RAW PELTIER: TC-1 = 80.9, HSTemp = 18.6, modeled = 58.9, rawRR C/s = 7.0, output = 100.0
(208177) RAW PELTIER: TC-1 = 81.3, HSTemp = 18.6, modeled = 59.2, rawRR C/s = 6.9, output = 100.0
(208229) RAW PELTIER: TC-1 = 81.6, HSTemp = 18.6, modeled = 59.5, rawRR C/s = 6.8, output = 100.0
(208280) RAW PELTIER: TC-1 = 82.0, HSTemp = 18.6, modeled = 59.8, rawRR C/s = 6.7, output = 100.0
(208334) RAW PELTIER: TC-1 = 82.4, HSTemp = 18.6, modeled = 60.1, rawRR C/s = 6.8, output = 100.0
(208381) RAW PELTIER: TC-1 = 82.7, HSTemp = 18.6, modeled = 60.4, rawRR C/s = 6.7, output = 100.0
(208430) RAW PELTIER: TC-1 = 82.7, HSTemp = 18.6, modeled = 60.7, rawRR C/s = 6.7, output = 100.0
(208479) RAW PELTIER: TC-1 = 83.1, HSTemp = 18.6, modeled = 61.0, rawRR C/s = 6.7, output = 100.0
(208530) RAW PELTIER: TC-1 = 83.4, HSTemp = 18.6, modeled = 61.3, rawRR C/s = 6.6, output = 100.0
(208580) RAW PELTIER: TC-1 = 83.8, HSTemp = 18.6, modeled = 61.6, rawRR C/s = 6.5, output = 100.0
(208630) RAW PELTIER: TC-1 = 84.1, HSTemp = 18.6, modeled = 61.9, rawRR C/s = 6.5, output = 100.0
(208679) RAW PELTIER: TC-1 = 84.5, HSTemp = 18.6, modeled = 62.2, rawRR C/s = 6.4, output = 100.0
(208731) RAW PELTIER: TC-1 = 84.8, HSTemp = 18.6, modeled = 62.5, rawRR C/s = 6.4, output = 100.0
(208781) RAW PELTIER: TC-1 = 85.2, HSTemp = 18.6, modeled = 62.8, rawRR C/s = 6.4, output = 100.0
(208830) RAW PELTIER: TC-1 = 85.5, HSTemp = 18.6, modeled = 63.1, rawRR C/s = 6.4, output = 100.0
(208880) RAW PELTIER: TC-1 = 85.8, HSTemp = 18.6, modeled = 63.4, rawRR C/s = 6.3, output = 100.0
(208932) RAW PELTIER: TC-1 = 86.2, HSTemp = 18.6, modeled = 63.7, rawRR C/s = 6.4, output = 100.0
(208980) RAW PELTIER: TC-1 = 86.5, HSTemp = 18.6, modeled = 64.0, rawRR C/s = 6.3, output = 100.0
(209030) RAW PELTIER: TC-1 = 86.8, HSTemp = 18.6, modeled = 64.3, rawRR C/s = 6.2, output = 100.0
(209080) RAW PELTIER: TC-1 = 87.2, HSTemp = 18.6, modeled = 64.5, rawRR C/s = 6.2, output = 100.0
(209132) RAW PELTIER: TC-1 = 87.5, HSTemp = 18.6, modeled = 64.8, rawRR C/s = 6.2, output = 100.0
(209185) RAW PELTIER: TC-1 = 87.8, HSTemp = 18.6, modeled = 65.1, rawRR C/s = 6.2, output = 100.0
(209231) RAW PELTIER: TC-1 = 88.1, HSTemp = 18.6, modeled = 65.4, rawRR C/s = 6.4, output = 100.0
(209282) RAW PELTIER: TC-1 = 88.1, HSTemp = 18.6, modeled = 65.7, rawRR C/s = 6.4, output = 100.0
(209335) RAW PELTIER: TC-1 = 88.5, HSTemp = 18.6, modeled = 66.0, rawRR C/s = 6.2, output = 100.0
(209384) RAW PELTIER: TC-1 = 88.8, HSTemp = 18.6, modeled = 66.3, rawRR C/s = 6.2, output = 100.0
(209432) RAW PELTIER: TC-1 = 89.1, HSTemp = 18.6, modeled = 66.5, rawRR C/s = 6.2, output = 100.0
(209484) RAW PELTIER: TC-1 = 89.5, HSTemp = 18.6, modeled = 66.8, rawRR C/s = 5.8, output = 100.0
(209532) RAW PELTIER: TC-1 = 89.8, HSTemp = 18.6, modeled = 67.1, rawRR C/s = 5.9, output = 100.0
(209583) RAW PELTIER: TC-1 = 90.1, HSTemp = 18.6, modeled = 67.4, rawRR C/s = 5.6, output = 100.0
(209632) RAW PELTIER: TC-1 = 90.4, HSTemp = 18.6, modeled = 67.7, rawRR C/s = 5.6, output = 100.0
(209683) RAW PELTIER: TC-1 = 90.7, HSTemp = 18.6, modeled = 67.9, rawRR C/s = 6.1, output = 100.0
(209734) RAW PELTIER: TC-1 = 91.0, HSTemp = 18.6, modeled = 68.2, rawRR C/s = 6.0, output = 100.0
(209783) RAW PELTIER: TC-1 = 91.3, HSTemp = 18.6, modeled = 68.5, rawRR C/s = 5.9, output = 100.0
(209834) RAW PELTIER: TC-1 = 91.6, HSTemp = 18.6, modeled = 68.8, rawRR C/s = 5.8, output = 100.0
(209883) RAW PELTIER: TC-1 = 91.9, HSTemp = 18.6, modeled = 69.1, rawRR C/s = 5.5, output = 100.0
(209934) RAW PELTIER: TC-1 = 92.2, HSTemp = 18.6, modeled = 69.3, rawRR C/s = 5.4, output = 100.0
(209984) RAW PELTIER: TC-1 = 92.5, HSTemp = 18.6, modeled = 69.6, rawRR C/s = 5.6, output = 100.0
(210037) RAW PELTIER: TC-1 = 92.8, HSTemp = 18.6, modeled = 69.9, rawRR C/s = 5.5, output = 100.0
(210090) RAW PELTIER: TC-1 = 93.1, HSTemp = 18.6, modeled = 70.2, rawRR C/s = 5.5, output = 100.0
(210137) RAW PELTIER: TC-1 = 93.4, HSTemp = 18.7, modeled = 70.4, rawRR C/s = 5.4, output = 100.0
(210187) RAW PELTIER: TC-1 = 93.4, HSTemp = 18.7, modeled = 70.7, rawRR C/s = 5.4, output = 100.0
(210238) RAW PELTIER: TC-1 = 93.7, HSTemp = 18.7, modeled = 71.0, rawRR C/s = 5.5, output = 100.0
(210288) RAW PELTIER: TC-1 = 94.0, HSTemp = 18.7, modeled = 71.2, rawRR C/s = 5.5, output = 100.0
(210336) RAW PELTIER: TC-1 = 94.3, HSTemp = 18.7, modeled = 71.5, rawRR C/s = 5.5, output = 100.0
(210387) RAW PELTIER: TC-1 = 94.6, HSTemp = 18.7, modeled = 71.8, rawRR C/s = 5.6, output = 100.0
(210436) RAW PELTIER: TC-1 = 94.9, HSTemp = 18.7, modeled = 72.0, rawRR C/s = 5.4, output = 100.0
(210489) RAW PELTIER: TC-1 = 95.1, HSTemp = 18.7, modeled = 72.3, rawRR C/s = 5.2, output = 100.0
(210536) RAW PELTIER: TC-1 = 95.4, HSTemp = 18.7, modeled = 72.5, rawRR C/s = 5.3, output = 100.0
(210587) RAW PELTIER: TC-1 = 95.7, HSTemp = 18.7, modeled = 72.8, rawRR C/s = 5.3, output = 100.0
(210638) RAW PELTIER: TC-1 = 96.0, HSTemp = 18.7, modeled = 73.1, rawRR C/s = 5.2, output = 100.0
(210687) RAW PELTIER: TC-1 = 96.3, HSTemp = 18.7, modeled = 73.3, rawRR C/s = 5.2, output = 100.0
(210736) RAW PELTIER: TC-1 = 96.5, HSTemp = 18.7, modeled = 73.6, rawRR C/s = 5.0, output = 100.0
(210786) RAW PELTIER: TC-1 = 96.8, HSTemp = 18.7, modeled = 73.9, rawRR C/s = 5.0, output = 100.0
(210838) RAW PELTIER: TC-1 = 97.1, HSTemp = 18.7, modeled = 74.1, rawRR C/s = 5.0, output = 100.0
(210890) RAW PELTIER: TC-1 = 97.3, HSTemp = 18.7, modeled = 74.4, rawRR C/s = 5.0, output = 100.0
(210943) RAW PELTIER: TC-1 = 97.6, HSTemp = 18.7, modeled = 74.7, rawRR C/s = 5.1, output = 100.0
(210994) RAW PELTIER: TC-1 = 97.8, HSTemp = 18.7, modeled = 74.9, rawRR C/s = 4.8, output = 100.0
(211041) RAW PELTIER: TC-1 = 97.8, HSTemp = 18.7, modeled = 75.2, rawRR C/s = 4.8, output = 100.0
(211089) RAW PELTIER: TC-1 = 98.1, HSTemp = 18.7, modeled = 75.4, rawRR C/s = 4.8, output = 100.0
(211138) RAW PELTIER: TC-1 = 98.4, HSTemp = 18.7, modeled = 75.7, rawRR C/s = 4.8, output = 100.0
(211191) RAW PELTIER: TC-1 = 98.6, HSTemp = 18.7, modeled = 75.9, rawRR C/s = 4.8, output = 100.0
(211238) RAW PELTIER: TC-1 = 98.9, HSTemp = 18.7, modeled = 76.1, rawRR C/s = 4.9, output = 100.0
(211289) RAW PELTIER: TC-1 = 99.1, HSTemp = 18.7, modeled = 76.4, rawRR C/s = 4.8, output = 100.0
(211338) RAW PELTIER: TC-1 = 99.4, HSTemp = 18.7, modeled = 76.6, rawRR C/s = 4.8, output = 100.0
(211389) RAW PELTIER: TC-1 = 99.6, HSTemp = 18.7, modeled = 76.9, rawRR C/s = 4.7, output = 100.0
(211438) RAW PELTIER: TC-1 = 99.9, HSTemp = 18.8, modeled = 77.1, rawRR C/s = 4.7, output = 100.0
(211489) RAW PELTIER: TC-1 = 100.1, HSTemp = 18.8, modeled = 77.4, rawRR C/s = 4.8, output = 100.0
(211538) RAW PELTIER: TC-1 = 100.4, HSTemp = 18.8, modeled = 77.6, rawRR C/s = 4.9, output = 100.0
(211589) RAW PELTIER: TC-1 = 100.7, HSTemp = 18.8, modeled = 77.9, rawRR C/s = 4.9, output = 100.0
(211638) RAW PELTIER: TC-1 = 100.9, HSTemp = 18.8, modeled = 78.1, rawRR C/s = 5.0, output = 100.0
(211689) RAW PELTIER: TC-1 = 101.2, HSTemp = 18.8, modeled = 78.4, rawRR C/s = 4.9, output = 100.0
(211739) RAW PELTIER: TC-1 = 101.4, HSTemp = 18.8, modeled = 78.6, rawRR C/s = 4.7, output = 100.0
