***PCR ON***
[161]PCR TEC set to 50°C
(5914843) _setPcrTecTempC: TEC Set Temp 50.000000
(5914844) _resetThermalControlState: RESET Peltier 1 control state
(5914848) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(5914855) _setThermalControlState: thermalControl-1: changing state 3->1
(5914862) tecCurvePredictorSetHoldPower: holdPower is NaN
(5914868) thermalControlSetEnable: Enabling Peltier 1
(5934201) TC: TC-1 = 94.36, modeled = 83.63, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 19200, exptTempC = 50.00, TecRate = 1.395
(5934352) TC: TC-1 = 94.46, modeled = 83.84, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 19350, exptTempC = 50.00, TecRate = 1.373
(5934506) TC: TC-1 = 94.55, modeled = 84.04, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 19500, exptTempC = 50.00, TecRate = 1.357
(5934658) TC: TC-1 = 94.61, modeled = 84.24, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 19650, exptTempC = 50.00, TecRate = 1.311
(5934804) TC: TC-1 = 94.69, modeled = 84.43, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 19800, exptTempC = 50.00, TecRate = 1.284
(5934954) TC: TC-1 = 94.78, modeled = 84.62, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 19950, exptTempC = 50.00, TecRate = 1.272
(5935104) TC: TC-1 = 94.88, modeled = 84.82, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 20100, exptTempC = 50.00, TecRate = 1.265
(5935254) TC: TC-1 = 94.96, modeled = 85.00, target = 50.00, heatSink = -86.42, output = -100.0, timeout = 20250, exptTempC = 50.00, TecRate = 1.245
(5935406) TC: TC-1 = 95.04, modeled = 85.19, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 20400, exptTempC = 50.00, TecRate = 1.230
(5935554) TC: TC-1 = 95.10, modeled = 85.37, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 20550, exptTempC = 50.00, TecRate = 1.181
(5935706) TC: TC-1 = 95.19, modeled = 85.55, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 20700, exptTempC = 50.00, TecRate = 1.187
(5935856) TC: TC-1 = 95.27, modeled = 85.72, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 20850, exptTempC = 50.00, TecRate = 1.174
(5936006) TC: TC-1 = 95.35, modeled = 85.90, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 21000, exptTempC = 50.00, TecRate = 1.161
(5936156) TC: TC-1 = 95.41, modeled = 86.07, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 21150, exptTempC = 50.00, TecRate = 1.137
(5936311) TC: TC-1 = 95.46, modeled = 86.24, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 21300, exptTempC = 50.00, TecRate = 1.093
(5936456) TC: TC-1 = 95.53, modeled = 86.40, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 21450, exptTempC = 50.00, TecRate = 1.090
(5936608) TC: TC-1 = 95.61, modeled = 86.57, target = 50.00, heatSink = -85.87, output = -100.0, timeout = 21600, exptTempC = 50.00, TecRate = 1.088
(5936756) TC: TC-1 = 95.69, modeled = 86.73, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 21750, exptTempC = 50.00, TecRate = 1.081
(5936908) TC: TC-1 = 95.76, modeled = 86.89, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 21900, exptTempC = 50.00, TecRate = 1.063
(5937063) TC: TC-1 = 95.82, modeled = 87.05, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 22050, exptTempC = 50.00, TecRate = 1.049
(5937210) TC: TC-1 = 95.87, modeled = 87.20, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 22200, exptTempC = 50.00, TecRate = 1.027
(5937359) TC: TC-1 = 95.96, modeled = 87.36, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 22350, exptTempC = 50.00, TecRate = 1.028
(5937509) TC: TC-1 = 96.03, modeled = 87.51, target = 50.00, heatSink = -85.75, output = -100.0, timeout = 22500, exptTempC = 50.00, TecRate = 1.023
(5937659) TC: TC-1 = 96.10, modeled = 87.66, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 22650, exptTempC = 50.00, TecRate = 1.003
(5937810) TC: TC-1 = 96.16, modeled = 87.81, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 22800, exptTempC = 50.00, TecRate = 0.993
(5937966) TC: TC-1 = 96.23, modeled = 87.96, target = 50.00, heatSink = -86.24, output = -100.0, timeout = 22950, exptTempC = 50.00, TecRate = 0.984
(5938118) TC: TC-1 = 96.27, modeled = 88.10, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 23100, exptTempC = 50.00, TecRate = 0.954
(5938261) TC: TC-1 = 96.34, modeled = 88.24, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 23250, exptTempC = 50.00, TecRate = 0.944
(5938412) TC: TC-1 = 96.39, modeled = 88.38, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 23400, exptTempC = 50.00, TecRate = 0.922
(5938561) TC: TC-1 = 96.45, modeled = 88.52, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 23550, exptTempC = 50.00, TecRate = 0.917
