***PCR ON***
[41]PCR TEC set to 50°C
(96141) _setPcrTecTempC: TEC Set Temp 50.000000
(96142) _resetThermalControlState: RESET Peltier 1 control state
(96145) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(96152) _setThermalControlState: thermalControl-1: changing state 3->1
(96159) tecCurvePredictorSetHoldPower: holdPower is NaN
(96165) thermalControlSetEnable: Enabling Peltier 1
(112906) TC: TC-1 = 95.59, modeled = 80.27, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 16650, exptTempC = 50.00, TecRate = 2.024
(113056) TC: TC-1 = 95.72, modeled = 80.57, target = 50.00, heatSink = -85.82, output = -100.0, timeout = 16800, exptTempC = 50.00, TecRate = 1.994
(113206) TC: TC-1 = 95.85, modeled = 80.87, target = 50.00, heatSink = -85.61, output = -100.0, timeout = 16950, exptTempC = 50.00, TecRate = 1.970
(113356) TC: TC-1 = 95.97, modeled = 81.16, target = 50.00, heatSink = -85.93, output = -100.0, timeout = 17100, exptTempC = 50.00, TecRate = 1.934
(113506) TC: TC-1 = 96.11, modeled = 81.45, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 17250, exptTempC = 50.00, TecRate = 1.921
(113662) TC: TC-1 = 96.21, modeled = 81.74, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 17400, exptTempC = 50.00, TecRate = 1.874
(113807) TC: TC-1 = 96.28, modeled = 82.01, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 17550, exptTempC = 50.00, TecRate = 1.817
(113957) TC: TC-1 = 96.39, modeled = 82.28, target = 50.00, heatSink = -85.64, output = -100.0, timeout = 17700, exptTempC = 50.00, TecRate = 1.790
(114108) TC: TC-1 = 96.48, modeled = 82.54, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 17850, exptTempC = 50.00, TecRate = 1.759
(114258) TC: TC-1 = 96.58, modeled = 82.80, target = 50.00, heatSink = -85.79, output = -100.0, timeout = 18000, exptTempC = 50.00, TecRate = 1.733
(114408) TC: TC-1 = 96.68, modeled = 83.06, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 18150, exptTempC = 50.00, TecRate = 1.702
(114565) TC: TC-1 = 96.77, modeled = 83.31, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 18300, exptTempC = 50.00, TecRate = 1.679
(114710) TC: TC-1 = 96.84, modeled = 83.56, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 18450, exptTempC = 50.00, TecRate = 1.638
(114861) TC: TC-1 = 96.95, modeled = 83.80, target = 50.00, heatSink = -85.60, output = -100.0, timeout = 18600, exptTempC = 50.00, TecRate = 1.628
(115010) TC: TC-1 = 97.04, modeled = 84.05, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 18750, exptTempC = 50.00, TecRate = 1.606
(115161) TC: TC-1 = 97.11, modeled = 84.28, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 18900, exptTempC = 50.00, TecRate = 1.566
(115316) TC: TC-1 = 97.17, modeled = 84.51, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 19050, exptTempC = 50.00, TecRate = 1.526
(115463) TC: TC-1 = 97.23, modeled = 84.74, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 19200, exptTempC = 50.00, TecRate = 1.491
(115612) TC: TC-1 = 97.31, modeled = 84.96, target = 50.00, heatSink = -85.79, output = -100.0, timeout = 19350, exptTempC = 50.00, TecRate = 1.478
(115763) TC: TC-1 = 97.39, modeled = 85.18, target = 50.00, heatSink = -85.60, output = -100.0, timeout = 19500, exptTempC = 50.00, TecRate = 1.455
(115912) TC: TC-1 = 97.46, modeled = 85.40, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 19650, exptTempC = 50.00, TecRate = 1.431
(116066) TC: TC-1 = 97.53, modeled = 85.61, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 19800, exptTempC = 50.00, TecRate = 1.413
(116215) TC: TC-1 = 97.57, modeled = 85.82, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 19950, exptTempC = 50.00, TecRate = 1.360
(116365) TC: TC-1 = 97.64, modeled = 86.02, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 20100, exptTempC = 50.00, TecRate = 1.355
(116516) TC: TC-1 = 97.72, modeled = 86.22, target = 50.00, heatSink = -85.50, output = -100.0, timeout = 20250, exptTempC = 50.00, TecRate = 1.346
(116665) TC: TC-1 = 97.79, modeled = 86.42, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 20400, exptTempC = 50.00, TecRate = 1.329
(116815) TC: TC-1 = 97.85, modeled = 86.62, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 20550, exptTempC = 50.00, TecRate = 1.307
(116971) TC: TC-1 = 97.90, modeled = 86.81, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 20700, exptTempC = 50.00, TecRate = 1.277
(117115) TC: TC-1 = 97.93, modeled = 87.00, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 20850, exptTempC = 50.00, TecRate = 1.243
(117266) TC: TC-1 = 98.01, modeled = 87.19, target = 50.00, heatSink = -85.64, output = -100.0, timeout = 21000, exptTempC = 50.00, TecRate = 1.247
(117416) TC: TC-1 = 98.07, modeled = 87.37, target = 50.00, heatSink = -85.72, output = -100.0, timeout = 21150, exptTempC = 50.00, TecRate = 1.223
(117565) TC: TC-1 = 98.12, modeled = 87.55, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 21300, exptTempC = 50.00, TecRate = 1.203
(117719) TC: TC-1 = 98.18, modeled = 87.73, target = 50.00, heatSink = -86.23, output = -100.0, timeout = 21450, exptTempC = 50.00, TecRate = 1.191
